TA_video,TA_text,Teacher_video,Teacher_text,id,week,clustered_label
0,0,0,0,100104041,week33,4633
0,0,0,79,100104041,week34,4634
0,0,9341,0,100104041,week35,2400
0,0,0,0,100104041,week36,4633
0,0,0,0,100202044,week1,4633
0,0,0,0,100202044,week2,4633
0,0,0,112,100202044,week3,4632
0,0,0,1231,100202044,week4,4610
0,0,0,61,100202044,week5,4634
0,0,0,0,100202044,week6,4633
0,0,0,39,100202044,week7,4634
0,0,0,24,100202044,week8,4633
0,0,0,122,100202044,week9,4632
0,0,0,10,100202044,week10,4633
0,1832,0,9,100202044,week11,4650
0,6,62,3871,100202044,week12,4250
0,0,0,7,100202044,week13,4633
0,0,0,43,100202044,week14,4634
0,0,0,123,100202044,week15,4632
0,0,0,37,100202044,week16,4634
0,0,0,0,100202044,week17,4633
0,0,0,14667,100202044,week18,1200
0,0,0,0,100202044,week19,4633
0,0,0,0,100202044,week20,4633
0,0,0,0,100202044,week21,4633
0,0,2166,0,100202044,week22,4500
0,0,0,0,100202044,week23,4633
0,0,0,2795,100202044,week24,4260
0,0,0,0,100202044,week25,4633
0,0,0,0,100202044,week26,4633
0,0,0,0,100202044,week27,4633
0,0,6526,0,100202044,week28,2100
0,0,42,0,100202044,week29,4633
0,0,0,0,100202044,week30,4633
0,0,0,0,100202044,week31,4633
0,0,0,323,100202044,week32,4620
0,0,0,139,100202044,week33,4632
0,0,0,0,100202044,week34,4633
0,0,0,0,100202044,week35,4633
0,0,0,7428,100202044,week36,1100
0,0,0,0,100206009,week1,4633
0,0,0,0,100206009,week2,4633
0,0,1055,20,100206009,week3,4500
0,0,0,0,100206009,week4,4633
0,0,806,16,100206009,week5,4500
3462,0,1818,0,100206009,week6,5100
0,0,0,0,100206009,week7,4633
0,946,0,89,100206009,week8,4650
0,0,0,0,100206009,week9,4633
0,6,0,9,100206009,week10,4633
0,0,0,0,100206009,week11,4633
1738,0,225,102,100206009,week12,4100
0,8,0,286,100206009,week13,4620
0,0,0,73,100206009,week14,4634
737,0,0,17,100206009,week15,4660
0,0,0,94,100206009,week16,4634
0,0,0,91,100206009,week17,4634
11,245,0,133,100206009,week18,4631
0,0,0,67,100206009,week19,4634
0,0,0,0,100206009,week20,4633
0,0,0,0,100206009,week21,4633
0,0,0,0,100206009,week22,4633
0,0,13296,0,100206009,week23,2500
2179,60,19456,0,100206009,week24,3100
0,0,0,0,100206009,week25,4633
579,0,17014,0,100206009,week26,2600
0,0,21601,0,100206009,week27,3100
0,0,1906,0,100206009,week28,4500
0,0,493,0,100206009,week29,4640
0,0,0,0,100206009,week30,4633
0,0,0,0,100206009,week31,4633
0,0,0,0,100206009,week32,4633
0,0,0,0,100206009,week33,4633
0,0,0,0,100206009,week34,4633
0,0,0,38,100206009,week35,4634
0,0,26826,0,100206009,week36,3200
0,0,0,0,100401044,week1,4633
0,0,0,0,100401044,week2,4633
0,127,6,101,100401044,week3,4631
0,0,0,0,100401044,week4,4633
0,0,0,23,100401044,week5,4633
3553,43,3293,146,100401044,week6,5400
0,140,0,14,100401044,week7,4631
5,8,576,44,100401044,week8,4640
0,0,0,0,100401044,week9,4633
0,0,0,0,100401044,week10,4633
0,0,0,0,100401044,week11,4633
13304,63,0,4720,100401044,week12,6100
0,0,0,7,100401044,week13,4633
0,9,0,0,100401044,week14,4633
0,0,0,0,100401044,week15,4633
0,0,0,0,100401044,week16,4633
0,946,0,4180,100401044,week17,4250
4991,40,0,0,100401044,week18,5100
0,0,0,0,100401044,week19,4633
5662,0,735,0,100401044,week20,5100
0,0,0,0,100401044,week21,4633
0,0,195,129,100401044,week22,4636
237,0,1668,18992,100401044,week23,1400
0,0,0,0,100401044,week24,4633
0,0,0,0,100401044,week25,4633
0,0,0,0,100401044,week26,4633
0,0,0,0,100401044,week27,4633
3328,0,0,40,100401044,week28,5100
0,0,1248,0,100401044,week29,4500
0,0,0,0,100401044,week30,4633
0,0,0,0,100401044,week31,4633
0,0,0,0,100401044,week32,4633
0,0,0,0,100401044,week33,4633
0,0,0,0,100401044,week34,4633
11509,0,970,941,100401044,week35,6100
874,0,1837,0,100401044,week36,4500
0,0,0,0,100401072,week1,4633
0,0,0,0,100401072,week2,4633
0,16,0,79,100401072,week3,4634
0,52,21,37,100401072,week4,4634
0,27,0,286,100401072,week5,4620
0,0,4607,0,100401072,week6,4400
0,5,0,105,100401072,week7,4634
0,0,0,0,100401072,week8,4633
0,26,945,86,100401072,week9,4500
0,25,0,208,100401072,week10,4632
0,288,6873,79,100401072,week11,2100
10261,991,3924,289,100401072,week12,5600
0,0,0,0,100401072,week13,4633
0,27,0,156,100401072,week14,4632
6327,76,0,95,100401072,week15,5500
0,0,0,68,100401072,week16,4634
0,5,0,10271,100401072,week17,1200
3629,543,6,420,100401072,week18,5100
0,0,0,0,100401072,week19,4633
126,43,6634,0,100401072,week20,2100
0,0,0,0,100401072,week21,4633
0,89,0,0,100401072,week22,4633
422,0,0,343,100401072,week23,4660
0,0,0,0,100401072,week24,4633
0,0,25302,3892,100401072,week25,3200
0,0,0,0,100401072,week26,4633
0,0,0,0,100401072,week27,4633
0,3558,13674,170,100401072,week28,2600
525,91,1119,132,100401072,week29,4500
0,0,0,0,100401072,week30,4633
0,0,0,0,100401072,week31,4633
0,0,0,0,100401072,week32,4633
0,0,0,0,100401072,week33,4633
0,0,0,0,100401072,week34,4633
0,0,0,50,100401072,week35,4634
646,505,9214,706,100401072,week36,2400
0,0,0,0,100508018,week1,4633
0,19,15,60,100508018,week2,4634
12,815,0,40,100508018,week3,4650
22,344,48,242,100508018,week4,4620
0,0,0,2688,100508018,week5,4260
0,0,0,40,100508018,week6,4634
0,0,0,40,100508018,week7,4634
0,0,0,10,100508018,week8,4633
42,8,5,37,100508018,week9,4634
0,0,0,106,100508018,week10,4634
220,69,0,31,100508018,week11,4635
23,109,6,43,100508018,week12,4634
0,0,0,10,100508018,week13,4633
0,0,0,9,100508018,week14,4633
0,0,0,0,100508018,week15,4633
0,0,0,1615,100508018,week16,4610
0,0,0,8314,100508018,week17,1100
6,0,0,10,100508018,week18,4633
0,0,0,262,100508018,week19,4620
81,51,3214,33,100508018,week20,4400
0,0,7583,173,100508018,week21,2400
0,0,0,0,100508018,week22,4633
0,0,57,36,100508018,week23,4634
0,0,4274,0,100508018,week24,4400
0,0,0,44,100508018,week25,4634
0,0,0,0,100508018,week26,4633
0,0,0,0,100508018,week27,4633
0,0,0,0,100508018,week28,4633
0,0,948,0,100508018,week29,4500
0,0,0,0,100508018,week30,4633
0,0,0,0,100508018,week31,4633
0,0,0,117,100508018,week32,4632
0,0,0,0,100508018,week33,4633
0,0,0,308,100508018,week34,4620
0,0,33329,0,100508018,week35,3300
0,0,0,0,100508018,week36,4633
0,0,0,0,101101050,week1,4633
0,14,67,73,101101050,week2,4634
0,0,0,130,101101050,week3,4632
0,0,0,9,101101050,week4,4633
0,0,0,27,101101050,week5,4633
0,0,0,0,101101050,week6,4633
0,0,0,160,101101050,week7,4632
0,0,0,8,101101050,week8,4633
0,0,0,142,101101050,week9,4632
0,0,0,14,101101050,week10,4633
0,0,0,83,101101050,week11,4634
0,0,0,0,101101050,week12,4633
0,0,0,24,101101050,week13,4633
0,0,0,17,101101050,week14,4633
0,0,0,43,101101050,week15,4634
0,0,0,0,101101050,week16,4633
0,0,0,15,101101050,week17,4633
0,0,0,0,101101050,week18,4633
0,0,0,0,101101050,week19,4633
0,0,0,0,101101050,week20,4633
0,0,1297,0,101101050,week21,4500
0,0,0,1158,101101050,week22,4610
0,0,0,0,101101050,week23,4633
0,0,0,0,101101050,week24,4633
0,0,0,149,101101050,week25,4632
0,82,0,0,101101050,week26,4633
0,0,0,0,101101050,week27,4633
0,0,0,351,101101050,week28,4620
0,0,0,0,101101050,week29,4633
0,0,0,341,101101050,week30,4620
0,0,0,0,101101050,week31,4633
0,0,0,439,101101050,week32,4620
0,0,0,81,101101050,week33,4634
0,0,0,0,101101050,week34,4633
0,0,0,0,101101050,week35,4633
0,0,0,0,101101050,week36,4633
0,0,0,0,101102025,week1,4633
0,9,0,17,101102025,week2,4633
