PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund,clustered_label
201602,100820,33949.0,0.555158031,0.171723762,0.049369937,0.22374826899999997,0.0,0.0,0.0,0.0,0,0.76
201603,100820,50365.66,0.640448274,0.116907433,0.058548820999999994,0.033277833,0.15081764,0.0,0.0,0.0,0,0.75
201604,100820,54212.64,0.47895324799999994,0.24137009399999998,0.054250632,0.05439414099999999,0.030916406,0.14011547900000001,0.0,0.0,0,0.76
201605,100820,42967.97,0.437356477,0.157714921,0.052060872,0.068447963,0.068629028,0.039007195,0.176783544,0.0,0,0.76
201606,100820,50267.19,0.32840288100000004,0.23659786800000002,0.13337089300000002,0.0,0.058508740999999996,0.05866351400000001,0.033343022,0.15111308199999998,0,0.76
201607,100820,30401.23,0.50126985,0.0,0.0,0.0,0.0,0.096741809,0.09699772,0.30499062,0,0.75
201608,100820,36867.43,0.532902348,0.055840073,0.0,0.0,0.0,0.0,0.079774207,0.331483372,0,0.75
201609,100820,46791.26,0.46696690799999996,0.164948753,0.044049252000000004,0.0,0.0,0.0,0.0,0.324035087,0,0.76
201610,100820,53258.82,0.715314571,0.0,0.0,0.0,0.0,0.0,0.0,0.284685429,0,0.75
201611,100820,65141.61,0.76724539,0.0,0.0,0.0,0.0,0.0,0.0,0.23275461,0,0.75
201612,100820,62285.54,0.7565725529999999,0.0,0.0,0.0,0.0,0.0,0.0,0.243427447,0,0.75
201701,100820,82590.19,0.8164187540000001,0.0,0.0,0.0,0.0,0.0,0.0,0.183581246,0,0.75
201702,100820,102341.92,0.60036083,0.251488637,0.0,0.0,0.0,0.0,0.0,0.148150533,0,0.76
201703,100820,64413.03,0.7646126879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.235387312,0,0.75
201704,100820,72040.78,0.5409368139999999,0.24859891899999997,0.0,0.0,0.0,0.0,0.0,0.210464268,0,0.76
201705,100820,73843.63,0.309119148,0.238730545,0.246824404,0.0,0.0,0.0,0.0,0.205325903,0,0.74
201706,100820,25170.14,0.031605307,0.366013856,0.0,0.0,0.0,0.0,0.0,0.602380837,0,0.72
201601,100859,1729.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,100859,797.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,100859,733.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.11
201604,100859,214.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,100859,352.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,100859,1065.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,100859,1065.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,10087,674.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10087,665.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10087,266.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10087,492.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10087,224.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10087,724.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10087,503.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,10087,731.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10087,225.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10087,124.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,10087,123.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,100940,394.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,10107,653.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10107,2054.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10107,1739.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10107,1735.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10107,304.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10107,960.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10107,908.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,10107,646.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10107,1219.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10107,696.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10107,227.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,10107,935.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,10107,828.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,10107,989.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,10107,600.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,10107,742.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10107,845.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,10107,239.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,101139,8504367.84,0.999403023,0.00185052,-0.000339825,-0.000571188,-0.00034253,0.0,0.0,0.0,0,0.75
201602,101139,7410937.41,1.0048889779999999,0.001410832,0.0,0.0,0.0,-0.00629981,0.0,0.0,0,0.75
201603,101139,6896156.06,0.999928041,0.00244194,-0.00124773,0.0,-0.000419074,-0.0007031769999999999,0.0,0.0,0,0.75
201604,101139,6286444.64,0.9821707140000001,0.019658422,0.0,-0.001368745,0.0,-0.00045971900000000003,-6.709999999999999e-07,0.0,0,0.75
201605,101139,5690242.33,1.001512902,0.0,-3.5100000000000005e-09,0.0,0.0,-0.001512157,0.0,-7.420000000000001e-07,0,0.75
201606,101139,5538534.99,1.00303486,-0.003034095,0.0,-3.6099999999999997e-09,0.0,0.0,0.0,-7.620000000000001e-07,0,0.75
201607,101139,6348162.16,1.0013839740000001,-0.0013833060000000002,0.0,0.0,-3.15e-09,0.0,0.0,-6.65e-07,0,0.75
201608,101139,6774271.16,1.011360973,-0.010050528000000001,-0.001309819,0.0,0.0,-2.95e-09,0.0,-6.23e-07,0,0.75
201609,101139,7646549.7,1.0011609559999999,0.0,0.0,-0.001160402,0.0,0.0,-2.62e-09,-5.520000000000001e-07,0,0.75
201610,101139,7978825.3,1.001111992,0.0,0.0,0.0,-0.001111992,0.0,0.0,0.0,0,0.75
201611,101139,8468376.65,0.99883595,0.001389877,0.0,0.0,0.0,-0.000225827,0.0,0.0,0,0.75
201612,101139,9427736.39,1.000055291,0.0,0.0,0.0,0.0,0.0,-5.5299999999999996e-05,0.0,0,0.75
201701,101139,8699622.53,1.0000599190000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.99e-05,0,0.75
201702,101139,7828356.96,1.000838371,-0.000771784,0.0,0.0,0.0,0.0,0.0,-6.659999999999999e-05,0,0.75
201703,101139,8230051.14,0.9822475740000001,0.018535673,-0.00071991,0.0,0.0,0.0,0.0,-6.330000000000001e-05,0,0.75
201704,101139,7656115.77,0.9990538090000001,0.001803655,0.0,-0.000789378,0.0,0.0,0.0,-6.809999999999999e-05,0,0.75
201705,101139,8257615.28,1.000780633,0.0,0.0,0.0,-0.0007175069999999999,0.0,0.0,-6.31e-05,0,0.75
201706,101139,7578524.05,1.000144655,-7.59e-05,0.0,0.0,0.0,0.0,0.0,-6.879999999999999e-05,0,0.75
201601,10126,37028.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10126,39223.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10126,12168.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10126,18627.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10126,17463.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10126,99962.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10126,122617.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,10126,65885.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10126,11318.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10126,129713.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10126,141354.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,10126,62883.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,10126,88443.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,10126,63827.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,10126,3519.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,10126,87709.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10126,102576.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,10126,99437.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,101279,493.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,101279,400.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,101279,396.74,0.48328880399999996,0.0,0.516711196,0.0,0.0,0.0,0.0,0.0,0,0.12
201604,101279,406.46,0.816168873,0.18383112699999998,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201605,101279,643.81,0.927230083,0.0,0.0,0.072769917,0.0,0.0,0.0,0.0,0,0.75
201606,101279,569.1,0.853523107,0.146476893,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201607,101279,1106.78,0.805995772,0.194004228,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201608,101279,1048.95,0.6689832689999999,0.25284332,0.078173412,0.0,0.0,0.0,0.0,0.0,0,0.76
201609,101279,757.29,0.9923411109999999,0.007658889,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,101279,168.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,101279,201.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,101279,145.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,101279,27.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,101279,27.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,101279,27.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,101279,8895.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,101279,8895.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,10135,326.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10135,399.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10135,398.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10135,394.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10135,792.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,10135,1190.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10135,394.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10135,314.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,10135,703.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
