,actual_grade,predict_grade,torrance,week,id
216,78,80.06,2.0600000000000023,15,100401044
217,78,80.06,2.0600000000000023,16,100401044
218,78,80.06,2.0600000000000023,17,100401044
219,78,80.06,2.0600000000000023,18,100401044
220,96,77.41163666121057,-18.588363338789435,9,100208053
221,96,95.67,-0.3299999999999983,10,100208053
222,96,95.67,-0.3299999999999983,11,100208053
223,96,95.67,-0.3299999999999983,12,100208053
224,96,95.67,-0.3299999999999983,13,100208053
225,96,95.67,-0.3299999999999983,14,100208053
226,96,95.67,-0.3299999999999983,15,100208053
227,96,95.67,-0.3299999999999983,16,100208053
228,96,95.67,-0.3299999999999983,17,100208053
229,96,95.67,-0.3299999999999983,18,100208053
230,99,99.0,0.0,9,100206009
231,99,99.0,0.0,10,100206009
232,99,99.0,0.0,11,100206009
233,99,99.0,0.0,12,100206009
234,99,99.0,0.0,13,100206009
235,99,99.0,0.0,14,100206009
236,99,99.0,0.0,15,100206009
237,99,99.0,0.0,16,100206009
238,99,99.0,0.0,17,100206009
239,99,99.0,0.0,18,100206009
240,67,81.23398716773572,14.23398716773572,9,100202044
241,67,65.86,-1.1400000000000006,10,100202044
242,67,65.86,-1.1400000000000006,11,100202044
243,67,65.86,-1.1400000000000006,12,100202044
244,67,65.86,-1.1400000000000006,13,100202044
245,67,65.86,-1.1400000000000006,14,100202044
246,67,65.86,-1.1400000000000006,15,100202044
247,67,65.86,-1.1400000000000006,16,100202044
248,67,65.86,-1.1400000000000006,17,100202044
249,67,65.86,-1.1400000000000006,18,100202044
250,94,95.651870967742,1.6518709677419992,9,100104041
251,94,92.86,-1.1400000000000006,10,100104041
252,94,92.86,-1.1400000000000006,11,100104041
253,94,92.86,-1.1400000000000006,12,100104041
254,94,92.86,-1.1400000000000006,13,100104041
255,94,92.86,-1.1400000000000006,14,100104041
256,94,92.86,-1.1400000000000006,15,100104041
257,94,92.86,-1.1400000000000006,16,100104041
258,94,92.86,-1.1400000000000006,17,100104041
259,94,92.86,-1.1400000000000006,18,100104041
260,98,92.86,-5.140000000000001,9,100101021
261,98,92.86,-5.140000000000001,10,100101021
262,98,92.86,-5.140000000000001,11,100101021
263,98,92.86,-5.140000000000001,12,100101021
264,98,92.86,-5.140000000000001,13,100101021
265,98,92.86,-5.140000000000001,14,100101021
266,98,92.86,-5.140000000000001,15,100101021
267,98,92.86,-5.140000000000001,16,100101021
268,98,92.86,-5.140000000000001,17,100101021
269,98,92.86,-5.140000000000001,18,100101021
