,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,Exam2,Final,original,semester
64,102208017,6461,6409,6461,6461,6461,6461,6461,6463,6461,6409,6409,6600,6409,6461,6464,6461,6461,5100,43,14.0,30.5,76.4,90
65,102208014,6461,6461,6463,4200,6310,6465,6461,6465,6461,6450,6463,1100,6461,6462,6461,6461,6461,6559,32,7.5,24.5,56.7,70
66,102208010,6461,6464,6464,6350,6440,6310,6465,6465,6461,2300,6464,6600,6464,6540,6463,6461,6463,5200,44,23.0,28.5,82.4,95
67,102208007,6461,6463,6465,6420,6461,6100,6461,6210,6463,6240,6465,5100,6461,6463,6463,6461,6461,6600,31,11.5,17.0,53.7,66
68,102208006,6461,6461,6461,6464,6461,6559,6461,6461,6463,6461,5400,6461,6461,6464,6461,6461,6463,5100,41,20.0,26.0,76.9,90
69,102208005,6461,6461,6463,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,34,8.5,16.5,53.6,66
70,102208004,6461,6461,3620,6461,6430,4500,6461,3620,6465,6461,3400,6450,6461,6100,6450,6461,6100,6100,42,24.5,35.0,93.7,99
71,102208002,6461,6461,6461,6461,6463,6240,6461,6461,6465,6463,6463,6464,6461,6463,6461,6461,6461,6420,31,10.5,18.5,55.8,68
72,102208001,6465,6420,6465,6100,3620,6350,6461,6440,6463,6461,6461,6464,6461,6461,6461,6461,6461,6461,41,18.5,30.5,79.3,92
73,102205095,6461,6463,6420,6461,6465,6461,6465,6463,6461,6464,6420,6461,6464,6450,6464,6461,6461,6461,42,24.5,32.5,87.2,99
74,102205092,6461,6461,6420,6420,3650,3610,6461,6420,6461,6461,6464,6230,6420,6464,6465,6461,6461,6320,20,15.5,31.0,74.7,87
75,102205081,6461,6461,6450,6461,6461,6461,6461,6461,6461,6461,6461,5200,6461,6461,6461,6461,6461,6430,36,4.5,16.5,49.7,62
