id,TA_video_week1,TA_text_week1,Teacher_video_week1,Teacher_text_week1,TA_video_week2,TA_text_week2,Teacher_video_week2,Teacher_text_week2,TA_video_week3,TA_text_week3,Teacher_video_week3,Teacher_text_week3,TA_video_week4,TA_text_week4,Teacher_video_week4,Teacher_text_week4,TA_video_week5,TA_text_week5,Teacher_video_week5,Teacher_text_week5,TA_video_week6,TA_text_week6,Teacher_video_week6,Teacher_text_week6,TA_video_week7,TA_text_week7,Teacher_video_week7,Teacher_text_week7,TA_video_week8,TA_text_week8,Teacher_video_week8,Teacher_text_week8,TA_video_week9,TA_text_week9,Teacher_video_week9,Teacher_text_week9,TA_video_week10,TA_text_week10,Teacher_video_week10,Teacher_text_week10,TA_video_week11,TA_text_week11,Teacher_video_week11,Teacher_text_week11,TA_video_week12,TA_text_week12,Teacher_video_week12,Teacher_text_week12,TA_video_week13,TA_text_week13,Teacher_video_week13,Teacher_text_week13,TA_video_week14,TA_text_week14,Teacher_video_week14,Teacher_text_week14,TA_video_week15,TA_text_week15,Teacher_video_week15,Teacher_text_week15,TA_video_week16,TA_text_week16,Teacher_video_week16,Teacher_text_week16,TA_video_week17,TA_text_week17,Teacher_video_week17,Teacher_text_week17,TA_video_week18,TA_text_week18,Teacher_video_week18,Teacher_text_week18
101208094,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,6132,0,0,0,0,5060,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,1736,154,1756,0,0,0,0,75,0,0,0,0,0,49,0,48,0,44,0,65,0,0,0,0,0,0,1165,1588
101209037,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,6688,471,310,0,7151,1472,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,283,0,869,0,0,5045,0,6200,0,0,0,0,76,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,3729,0,0,1844,0
101302049,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,293,0,1541,0,3839
101401042,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,4910,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
101502012,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,48,0,0,549,63,0,0,1570,0,0,0,0,53,0,0,0,0,0,33,0,68,0,0,0,117,0,0,0,0,71,47,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,533
102103012,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,31,0,115,17999,0,1778,1384,1721,2390,0,64,0,0,4997,0,0,0,8139,2974,0,0,0,61,0,109,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5851,0,0,148
102205017,0,0,0,0,0,0,0,87,0,0,0,417,0,0,0,185,0,0,0,313,0,0,0,35,0,342,0,167,0,0,0,0,0,0,0,0,0,162,0,576,0,0,0,0,0,0,0,48,0,340,0,0,0,0,0,35,0,0,0,0,0,103,0,305,0,0,0,0,0,0,0,0
102205020,0,0,0,0,0,0,0,0,0,351,0,723,0,0,0,5845,0,0,0,0,0,74,16298,479,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,41,98,4448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7720,280,0,58
102205022,0,0,0,0,0,0,187,66,0,3307,0,635,0,0,0,33,0,0,0,0,0,61,22710,412,0,0,0,0,0,1362,48,126,0,0,0,0,0,0,0,0,0,0,0,37,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,183,0
102205024,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,54,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,53,0,0,0,700,0,0,0,31,0,0,0,45,0,0,0,0,0,0,0,34,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
