id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,Exam1,Exam2,Final,semester
102208054,0.71,0.71,0.79,0.2,0.71,0.77,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.6,6.0,13.0,18.0,64
102208053,0.71,0.71,0.71,0.71,0.71,0.1,0.71,0.71,0.71,0.79,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,5.0,1.0,0.0,32
102208052,0.71,0.71,0.71,0.75,0.71,0.2,0.71,0.71,0.71,0.71,0.4,0.6,0.71,0.71,0.77,0.71,0.71,0.73,17.5,17.5,31.5,92
102208046,0.71,0.71,0.71,0.71,0.73,0.1,0.71,0.71,0.4,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.75,0.6,21.0,21.5,34.0,99
102208045,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.5,21.0,22.5,38.5,99
102208044,0.71,0.71,0.71,0.71,0.71,0.1,0.71,0.73,0.71,0.71,0.6,0.5,0.71,0.71,0.71,0.71,0.5,0.75,8.0,8.5,14.5,58
102208043,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.5,15.0,7.5,19.5,73
102208042,0.71,0.78,0.2,0.71,0.2,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.8,17.0,19.5,30.5,93
102208041,0.71,0.71,0.9,0.8,0.2,0.4,0.71,0.71,0.71,0.71,0.8,0.2,0.71,0.71,0.78,0.3,0.72,0.8,13.5,4.5,16.0,64
102208038,0.71,0.71,0.71,0.71,0.71,0.2,0.71,0.71,0.71,0.71,0.4,0.79,0.71,0.71,0.71,0.71,0.71,0.71,10.0,16.0,16.5,68
102208034,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.72,16.5,11.0,18.5,76
102208032,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.1,0.71,0.71,0.71,0.71,0.71,0.1,12.5,7.5,21.0,68
102208030,0.71,0.71,0.71,0.71,0.4,0.4,0.2,0.9,0.76,0.71,0.6,0.71,0.71,0.75,0.73,0.71,0.77,0.71,14.5,16.0,25.0,83
102208029,0.71,0.71,0.76,0.75,0.4,0.2,0.71,0.71,0.71,0.71,0.6,0.5,0.71,0.71,0.71,0.71,0.71,0.71,20.0,20.5,35.0,99
102208024,0.71,0.71,0.2,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.73,19.0,22.5,36.0,99
102208023,0.71,0.71,0.71,0.78,0.79,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,19.5,20.0,35.5,99
102208022,0.71,0.71,0.71,0.75,0.71,0.4,0.71,0.74,0.71,0.71,0.74,0.6,0.71,0.71,0.71,0.71,0.71,0.5,16.5,21.5,26.5,91
102208021,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.3,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.72,18.0,13.5,30.5,84
102208018,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,12.0,20.5,32.5,94
102208017,0.71,0.74,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.74,0.74,0.5,0.74,0.71,0.71,0.71,0.71,0.6,16.5,14.0,30.5,90
102208014,0.71,0.71,0.71,0.1,0.4,0.71,0.71,0.75,0.71,0.75,0.71,0.3,0.71,0.71,0.71,0.71,0.71,0.73,10.0,7.5,24.5,70
102208010,0.71,0.71,0.71,0.4,0.71,0.76,0.71,0.71,0.71,0.9,0.71,0.5,0.71,0.73,0.71,0.71,0.71,0.6,14.5,23.0,28.5,95
102208007,0.71,0.71,0.71,0.71,0.71,0.8,0.71,0.78,0.71,0.79,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.5,7.0,11.5,17.0,66
102208006,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.71,0.6,16.5,20.0,26.0,90
102208005,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,12.5,8.5,16.5,66
102208004,0.71,0.71,0.2,0.71,0.72,0.4,0.71,0.2,0.71,0.71,0.8,0.75,0.71,0.77,0.75,0.71,0.77,0.77,20.5,24.5,35.0,99
102208002,0.71,0.71,0.71,0.71,0.71,0.79,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.74,14.5,10.5,18.5,68
