TA_video,TA_text,Teacher_video,Teacher_text,id,week
0.0,0.0,0.0,1.3666666666666667,101203004.0,week15
0.0,0.0,0.0,0.0,101203004.0,week16
0.0,0.0,0.0,0.0,101203004.0,week17
0.0,0.0,0.0,0.0,101203004.0,week18
0.0,0.0,0.0,0.0,101203054.0,week1
0.0,0.0,0.0,0.0,101203054.0,week2
0.0,0.0,0.0,0.0,101203054.0,week3
130.18333333333334,0.0,2.333333333333333,0.0,101203054.0,week4
0.0,0.0,0.0,0.0,101203054.0,week5
0.0,0.0,0.0,0.8166666666666667,101203054.0,week6
0.0,0.0,0.0,0.0,101203054.0,week7
0.0,0.0,0.0,0.0,101203054.0,week8
0.0,17.583333333333332,0.0,0.0,101203054.0,week9
0.0,0.0,0.0,0.0,101203054.0,week10
0.0,0.0,0.0,1.2166666666666666,101203054.0,week11
353.75,0.0,0.0,0.0,101203054.0,week12
0.0,0.0,0.0,0.0,101203054.0,week13
0.0,0.0,0.0,0.0,101203054.0,week14
0.0,0.0,0.0,0.0,101203054.0,week15
0.0,0.0,0.0,0.0,101203054.0,week16
0.0,0.0,0.0,0.0,101203054.0,week17
0.0,0.0,0.0,0.0,101203054.0,week18
0.0,0.0,0.0,0.0,101204026.0,week1
0.0,0.0,0.0,4.683333333333334,101204026.0,week2
0.0,0.0,0.0,1.35,101204026.0,week3
0.0,0.0,0.0,71.05,101204026.0,week4
0.0,0.0,0.0,4.183333333333334,101204026.0,week5
0.0,0.0,0.0,0.0,101204026.0,week6
0.0,0.0,0.0,0.0,101204026.0,week7
0.0,0.0,0.0,0.0,101204026.0,week8
0.0,1.95,0.0,1.2833333333333334,101204026.0,week9
0.0,0.0,0.0,0.0,101204026.0,week10
3.316666666666667,0.0,360.01666666666665,2.3,101204026.0,week11
12.116666666666667,0.0,0.0,0.0,101204026.0,week12
0.0,1.5833333333333333,0.0,30.75,101204026.0,week13
0.0,2.6666666666666665,0.0,0.0,101204026.0,week14
0.0,0.0,0.0,0.0,101204026.0,week15
0.0,0.0,0.0,0.0,101204026.0,week16
0.0,0.0,0.0,0.0,101204026.0,week17
360.01666666666665,0.0,0.0,0.0,101204026.0,week18
0.0,0.0,0.0,0.0,101205029.0,week1
0.0,0.5833333333333334,0.0,3.283333333333333,101205029.0,week2
25.766666666666666,0.0,0.0,3.3666666666666667,101205029.0,week3
0.0,0.0,0.0,0.0,101205029.0,week4
0.0,0.0,0.0,1.6166666666666667,101205029.0,week5
0.0,0.0,0.0,54.36666666666667,101205029.0,week6
0.6,0.0,0.0,0.5833333333333334,101205029.0,week7
0.0,0.0,0.0,0.0,101205029.0,week8
12.683333333333335,0.0,0.0,0.0,101205029.0,week9
0.0,0.0,0.0,3.316666666666667,101205029.0,week10
108.3,0.0,0.0,0.0,101205029.0,week11
41.35,0.0,0.0,48.31666666666667,101205029.0,week12
0.0,0.0,0.0,0.0,101205029.0,week13
98.46666666666668,0.0,0.0,1.0,101205029.0,week14
41.86666666666667,0.0,0.0,0.0,101205029.0,week15
0.0,0.0,0.0,0.8333333333333334,101205029.0,week16
0.0,0.0,0.0,0.55,101205029.0,week17
0.0,0.0,0.0,0.0,101205029.0,week18
0.0,0.0,0.0,0.65,101205043.0,week1
0.0,0.0,0.0,0.0,101205043.0,week2
0.0,0.0,0.0,0.0,101205043.0,week3
0.0,0.0,0.0,0.0,101205043.0,week4
0.0,0.0,0.0,0.0,101205043.0,week5
0.0,0.0,132.33333333333334,0.0,101205043.0,week6
0.0,0.0,0.0,0.0,101205043.0,week7
0.0,0.0,0.0,0.0,101205043.0,week8
0.0,2.466666666666667,0.0,14.083333333333336,101205043.0,week9
0.0,0.0,0.0,0.0,101205043.0,week10
0.0,0.0,0.0,0.0,101205043.0,week11
0.0,0.5666666666666667,3.75,0.0,101205043.0,week12
0.0,1.1166666666666667,0.0,1.2166666666666666,101205043.0,week13
0.0,0.0,0.0,0.0,101205043.0,week14
0.0,0.0,0.0,0.0,101205043.0,week15
0.0,0.0,0.0,0.0,101205043.0,week16
0.0,0.0,0.0,0.0,101205043.0,week17
0.0,0.0,179.15,7.15,101205043.0,week18
0.0,0.0,0.0,0.0,101205093.0,week1
0.0,0.0,0.0,0.8833333333333333,101205093.0,week2
0.0,0.0,0.0,0.0,101205093.0,week3
0.0,0.0,0.0,27.6,101205093.0,week4
0.0,0.0,0.0,4.1,101205093.0,week5
0.0,0.0,0.0,5.75,101205093.0,week6
0.0,0.0,0.0,0.0,101205093.0,week7
0.0,0.0,0.0,0.0,101205093.0,week8
0.0,0.0,0.0,0.0,101205093.0,week9
0.0,0.0,0.0,0.6833333333333333,101205093.0,week10
0.0,1.1333333333333333,93.76666666666668,0.6,101205093.0,week11
84.96666666666667,286.06666666666666,11.15,258.01666666666665,101205093.0,week12
0.0,0.0,0.0,16.566666666666666,101205093.0,week13
0.0,0.0,0.0,2.333333333333333,101205093.0,week14
14.566666666666665,0.0,0.0,0.0,101205093.0,week15
0.0,0.0,0.0,0.0,101205093.0,week16
0.0,0.0,0.0,0.0,101205093.0,week17
31.8,0.0,395.28333333333336,0.0,101205093.0,week18
0.0,0.0,0.0,0.0,101208002.0,week1
0.0,9.816666666666666,0.0,12.683333333333335,101208002.0,week2
0.0,31.48333333333333,0.0,0.0,101208002.0,week3
0.0,0.0,0.0,0.0,101208002.0,week4
0.0,0.0,0.0,97.51666666666668,101208002.0,week5
0.0,0.0,1.6166666666666667,0.0,101208002.0,week6
0.0,0.0,0.0,0.0,101208002.0,week7
0.0,0.0,0.0,0.0,101208002.0,week8
0.0,0.0,0.0,0.0,101208002.0,week9
0.0,0.0,0.0,0.0,101208002.0,week10
0.0,0.0,0.0,0.0,101208002.0,week11
24.0,0.0,25.966666666666665,3.55,101208002.0,week12
0.0,0.0,0.0,0.0,101208002.0,week13
0.0,0.0,0.0,0.0,101208002.0,week14
0.0,0.0,0.0,0.0,101208002.0,week15
0.0,0.0,0.0,16.983333333333334,101208002.0,week16
0.0,0.0,0.0,0.0,101208002.0,week17
0.0,0.0,0.0,0.0,101208002.0,week18
0.0,0.0,0.0,0.0,101208003.0,week1
0.0,0.0,0.0,0.0,101208003.0,week2
0.0,0.0,0.0,0.0,101208003.0,week3
0.0,0.0,0.0,0.0,101208003.0,week4
0.0,0.0,0.0,0.0,101208003.0,week5
19.216666666666665,0.0,0.6666666666666666,0.0,101208003.0,week6
0.0,0.0,0.0,0.0,101208003.0,week7
0.0,0.0,0.0,0.0,101208003.0,week8
0.0,0.0,0.0,0.0,101208003.0,week9
0.0,0.0,0.0,0.0,101208003.0,week10
0.0,0.0,0.0,0.0,101208003.0,week11
42.56666666666667,0.0,0.0,0.0,101208003.0,week12
0.0,0.0,0.0,0.0,101208003.0,week13
0.0,0.0,0.0,0.0,101208003.0,week14
0.0,0.0,0.0,0.0,101208003.0,week15
0.0,0.0,0.0,0.0,101208003.0,week16
0.0,0.0,0.0,0.0,101208003.0,week17
0.0,0.0,0.0,0.0,101208003.0,week18
0.0,0.0,0.0,0.0,101208004.0,week1
0.0,0.0,0.0,0.6333333333333333,101208004.0,week2
0.0,0.0,0.0,0.0,101208004.0,week3
0.0,0.8166666666666667,0.0,1.7833333333333334,101208004.0,week4
0.0,0.0,0.0,0.9,101208004.0,week5
0.0,0.0,0.0,3.1333333333333333,101208004.0,week6
0.0,0.0,0.0,0.0,101208004.0,week7
0.0,0.0,0.0,0.0,101208004.0,week8
0.0,0.0,0.0,0.0,101208004.0,week9
0.0,0.0,0.0,0.0,101208004.0,week10
0.0,0.0,0.0,0.0,101208004.0,week11
0.0,0.0,57.06666666666667,0.0,101208004.0,week12
0.0,0.0,0.0,0.6,101208004.0,week13
0.0,0.0,0.0,1.1833333333333331,101208004.0,week14
0.0,0.0,0.0,0.0,101208004.0,week15
0.0,0.0,0.0,0.0,101208004.0,week16
0.0,0.0,0.0,0.0,101208004.0,week17
0.0,0.0,0.0,0.0,101208004.0,week18
0.0,0.0,0.0,0.0,101208005.0,week1
0.0,0.0,0.0,0.0,101208005.0,week2
0.0,0.0,0.0,0.0,101208005.0,week3
0.0,0.0,0.0,0.0,101208005.0,week4
0.0,30.36666666666667,0.0,28.61666666666667,101208005.0,week5
0.0,0.0,0.0,0.0,101208005.0,week6
0.0,0.0,0.0,0.0,101208005.0,week7
0.0,0.0,0.0,0.6833333333333333,101208005.0,week8
0.0,0.0,0.0,0.0,101208005.0,week9
0.0,0.0,0.0,0.0,101208005.0,week10
0.0,0.0,0.0,0.0,101208005.0,week11
20.616666666666667,7.166666666666668,0.0,8.75,101208005.0,week12
0.0,0.0,0.0,0.0,101208005.0,week13
0.0,0.0,0.0,0.0,101208005.0,week14
0.0,0.0,0.0,0.0,101208005.0,week15
0.0,0.0,19.366666666666667,0.0,101208005.0,week16
0.0,0.0,0.0,0.0,101208005.0,week17
0.0,1.6333333333333333,0.0,0.0,101208005.0,week18
0.0,0.0,0.0,0.0,101208008.0,week1
0.0,0.0,0.0,0.0,101208008.0,week2
0.0,0.0,0.0,0.0,101208008.0,week3
0.0,0.0,0.0,0.0,101208008.0,week4
0.0,0.0,0.0,6.5,101208008.0,week5
0.0,0.0,0.0,1.6,101208008.0,week6
0.0,0.0,0.0,0.0,101208008.0,week7
0.0,0.0,0.0,0.0,101208008.0,week8
0.0,0.0,0.0,0.0,101208008.0,week9
0.0,0.0,0.0,0.0,101208008.0,week10
0.0,0.0,0.0,0.0,101208008.0,week11
0.0,0.0,0.0,0.0,101208008.0,week12
0.0,0.0,0.0,0.0,101208008.0,week13
0.0,0.0,0.0,0.0,101208008.0,week14
0.0,0.0,0.0,0.0,101208008.0,week15
0.0,0.0,0.0,0.0,101208008.0,week16
0.0,0.0,0.0,0.0,101208008.0,week17
7.566666666666666,0.0,0.0,0.0,101208008.0,week18
0.0,0.0,0.0,0.0,101208013.0,week1
0.0,0.0,0.0,0.0,101208013.0,week2
0.0,0.0,0.0,0.0,101208013.0,week3
0.0,0.0,0.0,0.0,101208013.0,week4
0.0,0.0,0.0,6.166666666666668,101208013.0,week5
0.0,0.0,0.0,0.7,101208013.0,week6
0.0,0.0,0.0,0.0,101208013.0,week7
0.0,0.0,0.0,0.0,101208013.0,week8
0.0,0.0,0.0,0.0,101208013.0,week9
0.0,0.0,0.0,0.0,101208013.0,week10
0.0,0.0,0.0,0.0,101208013.0,week11
0.0,25.83333333333333,0.0,0.55,101208013.0,week12
0.0,0.0,0.0,0.0,101208013.0,week13
0.0,0.0,0.0,0.0,101208013.0,week14
0.0,0.0,0.0,0.0,101208013.0,week15
0.0,0.0,0.0,0.0,101208013.0,week16
0.0,0.0,0.0,0.0,101208013.0,week17
0.0,0.0,0.0,0.0,101208013.0,week18
0.0,0.0,0.0,0.0,101208015.0,week1
0.0,0.0,0.0,0.0,101208015.0,week2
0.0,0.0,0.0,0.0,101208015.0,week3
0.0,0.0,0.0,0.0,101208015.0,week4
0.0,15.483333333333333,0.0,4.5,101208015.0,week5
0.0,0.0,26.23333333333333,12.616666666666667,101208015.0,week6
0.0,0.0,0.0,0.0,101208015.0,week7
0.0,0.0,0.0,0.0,101208015.0,week8
0.0,0.0,0.0,0.0,101208015.0,week9
0.0,0.0,0.0,0.0,101208015.0,week10
0.0,0.0,0.0,0.0,101208015.0,week11
0.0,0.0,348.38333333333327,1.7666666666666666,101208015.0,week12
0.0,0.0,0.0,0.0,101208015.0,week13
0.0,0.0,0.0,0.0,101208015.0,week14
0.0,0.0,0.0,0.0,101208015.0,week15
0.0,0.0,0.0,0.0,101208015.0,week16
0.0,0.0,0.0,0.0,101208015.0,week17
35.73333333333333,1.3,0.0,4.65,101208015.0,week18
0.0,0.0,0.0,0.0,101208017.0,week1
0.0,0.0,0.0,0.0,101208017.0,week2
0.0,0.0,0.5166666666666667,16.366666666666667,101208017.0,week3
0.0,1.2833333333333334,0.0,9.2,101208017.0,week4
0.0,0.0,214.63333333333333,3.466666666666667,101208017.0,week5
0.0,0.0,0.0,15.566666666666665,101208017.0,week6
0.0,0.0,0.0,0.7833333333333333,101208017.0,week7
0.0,0.0,0.0,0.0,101208017.0,week8
0.0,0.0,0.0,0.0,101208017.0,week9
0.0,0.0,0.0,0.0,101208017.0,week10
0.0,0.0,0.0,0.0,101208017.0,week11
184.38333333333333,1.4,0.0,0.0,101208017.0,week12
0.0,0.0,0.0,0.0,101208017.0,week13
0.0,1.0,0.0,0.0,101208017.0,week14
0.0,0.0,0.0,0.0,101208017.0,week15
0.0,0.0,0.0,0.0,101208017.0,week16
0.0,0.0,0.0,0.0,101208017.0,week17
25.03333333333333,1.6666666666666667,0.0,7.183333333333334,101208017.0,week18
0.0,0.0,0.0,0.0,101208025.0,week1
0.0,0.0,0.0,0.0,101208025.0,week2
0.0,6.9833333333333325,0.0,15.066666666666665,101208025.0,week3
0.0,12.416666666666664,0.0,19.2,101208025.0,week4
0.0,0.0,0.0,0.0,101208025.0,week5
0.0,0.0,236.41666666666663,12.05,101208025.0,week6
0.0,0.0,0.0,0.9166666666666666,101208025.0,week7
0.0,0.0,0.0,0.0,101208025.0,week8
0.0,0.0,0.0,0.0,101208025.0,week9
0.0,0.0,0.0,0.0,101208025.0,week10
0.0,0.0,0.0,110.31666666666666,101208025.0,week11
0.0,57.95,0.0,128.63333333333333,101208025.0,week12
0.0,0.0,0.0,0.0,101208025.0,week13
0.0,0.0,0.0,0.0,101208025.0,week14
0.0,0.0,0.0,0.0,101208025.0,week15
0.0,0.0,0.0,0.0,101208025.0,week16
0.0,0.0,0.0,0.0,101208025.0,week17
0.0,0.0,0.0,41.46666666666667,101208025.0,week18
0.0,0.0,0.0,0.0,101208031.0,week1
0.0,0.0,0.0,0.0,101208031.0,week2
0.0,0.0,0.0,0.0,101208031.0,week3
0.0,2.3,0.0,3.3,101208031.0,week4
0.0,0.0,3.083333333333333,0.0,101208031.0,week5
0.0,0.7166666666666667,24.78333333333333,7.833333333333332,101208031.0,week6
0.0,0.0,0.0,0.0,101208031.0,week7
0.0,0.0,0.0,2.55,101208031.0,week8
73.05,10.25,0.0,39.11666666666667,101208031.0,week9
0.0,0.0,0.0,0.0,101208031.0,week10
0.0,0.0,0.0,0.8,101208031.0,week11
0.0,0.0,0.0,0.0,101208031.0,week12
0.0,0.0,0.0,0.0,101208031.0,week13
0.0,0.0,0.0,0.0,101208031.0,week14
1.05,0.0,0.0,0.0,101208031.0,week15
0.0,0.0,0.0,0.0,101208031.0,week16
0.0,0.0,0.0,0.0,101208031.0,week17
0.0,0.0,0.0,0.0,101208031.0,week18
0.0,0.0,0.0,0.0,101208034.0,week1
0.0,0.0,0.0,1.1166666666666667,101208034.0,week2
0.0,0.0,0.0,0.85,101208034.0,week3
0.0,0.0,0.0,0.0,101208034.0,week4
0.0,0.0,2.4,0.65,101208034.0,week5
0.0,0.0,0.0,0.0,101208034.0,week6
0.0,0.0,0.0,0.0,101208034.0,week7
0.0,0.0,0.0,0.0,101208034.0,week8
0.0,0.0,0.0,0.0,101208034.0,week9
0.0,0.0,0.0,0.0,101208034.0,week10
0.0,0.0,0.0,0.0,101208034.0,week11
0.0,0.0,0.0,0.0,101208034.0,week12
