,PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund
187,201601,10126,37028.87,37028.87,0,0,0,0,0,0,0,0
188,201602,10126,39223.06,39223.06,0,0,0,0,0,0,0,0
189,201603,10126,12168.55,12168.55,0,0,0,0,0,0,0,0
190,201604,10126,18627.53,18627.53,0,0,0,0,0,0,0,0
191,201605,10126,17463.41,17463.41,0,0,0,0,0,0,0,0
192,201606,10126,99962.54,99962.54,0,0,0,0,0,0,0,0
193,201607,10126,122617.52,122617.52,0,0,0,0,0,0,0,0
194,201608,10126,65885.11,65885.11,0,0,0,0,0,0,0,0
195,201609,10126,11318.53,11318.53,0,0,0,0,0,0,0,0
196,201610,10126,129713.02,129713.02,0,0,0,0,0,0,0,0
197,201611,10126,141354.7,141354.7,0,0,0,0,0,0,0,0
198,201612,10126,62883.2,62883.2,0,0,0,0,0,0,0,0
199,201701,10126,88443.94,88443.94,0,0,0,0,0,0,0,0
200,201702,10126,63827.72,63827.72,0,0,0,0,0,0,0,0
201,201703,10126,3519.02,3519.02,0,0,0,0,0,0,0,0
202,201704,10126,87709.52,87709.52,0,0,0,0,0,0,0,0
203,201705,10126,102576.81,102576.81,0,0,0,0,0,0,0,0
204,201706,10126,99437.7,99437.7,0,0,0,0,0,0,0,0
205,201601,101279,493.8,493.8,0,0,0,0,0,0,0,0
206,201602,101279,400.34,400.34,0,0,0,0,0,0,0,0
207,201603,101279,396.74,191.74,0,205,0,0,0,0,0,0
208,201604,101279,406.46,331.74,74.72,0,0,0,0,0,0,0
209,201605,101279,643.81,596.96,0,0,46.85,0,0,0,0,0
210,201606,101279,569.1,485.74,83.36,0,0,0,0,0,0,0
211,201607,101279,1106.78,892.06,214.72,0,0,0,0,0,0,0
212,201608,101279,1048.95,701.73,265.22,82,0,0,0,0,0,0
213,201609,101279,757.29,751.49,5.8,0,0,0,0,0,0,0
214,201610,101279,168.15,168.15,0,0,0,0,0,0,0,0
215,201611,101279,201.05,201.05,0,0,0,0,0,0,0,0
216,201612,101279,145.49,145.49,0,0,0,0,0,0,0,0
217,201701,101279,27.78,27.78,0,0,0,0,0,0,0,0
218,201702,101279,27.78,27.78,0,0,0,0,0,0,0,0
219,201703,101279,27.78,27.78,0,0,0,0,0,0,0,0
220,201705,101279,8895.65,8895.65,0,0,0,0,0,0,0,0
221,201706,101279,8895.65,8895.65,0,0,0,0,0,0,0,0
222,201601,10135,326.28,326.28,0,0,0,0,0,0,0,0
223,201603,10135,399.1,399.1,0,0,0,0,0,0,0,0
224,201604,10135,398.17,398.17,0,0,0,0,0,0,0,0
225,201605,10135,394.05,394.05,0,0,0,0,0,0,0,0
226,201607,10135,792.7,792.7,0,0,0,0,0,0,0,0
227,201608,10135,1190.76,1190.76,0,0,0,0,0,0,0,0
228,201611,10135,394.57,394.57,0,0,0,0,0,0,0,0
229,201705,10135,314.06,314.06,0,0,0,0,0,0,0,0
230,201706,10135,703.67,703.67,0,0,0,0,0,0,0,0
231,201601,10143,1822.36,1822.36,0,0,0,0,0,0,0,0
232,201602,10143,6463.85,6463.85,0,0,0,0,0,0,0,0
233,201603,10143,6675.71,6675.71,0,0,0,0,0,0,0,0
234,201604,10143,6660.19,6660.19,0,0,0,0,0,0,0,0
235,201701,10143,818.47,818.47,0,0,0,0,0,0,0,0
236,201702,10143,837.03,837.03,0,0,0,0,0,0,0,0
237,201703,10143,837.03,837.03,0,0,0,0,0,0,0,0
238,201603,10147,7775.14,7775.14,0,0,0,0,0,0,0,0
239,201604,10147,7757.07,7757.07,0,0,0,0,0,0,0,0
240,201606,10147,10013.75,10013.75,0,0,0,0,0,0,0,0
241,201607,10147,10125.13,10125.13,0,0,0,0,0,0,0,0
242,201609,10147,6512.96,6512.96,0,0,0,0,0,0,0,0
243,201610,10147,6471.69,6471.69,0,0,0,0,0,0,0,0
244,201611,10147,6408.73,6408.73,0,0,0,0,0,0,0,0
245,201703,10147,10711.2,10711.2,0,0,0,0,0,0,0,0
246,201704,10147,11325.09,11325.09,0,0,0,0,0,0,0,0
247,201705,10147,7167.98,7167.98,0,0,0,0,0,0,0,0
248,201706,10147,9256.81,9256.81,0,0,0,0,0,0,0,0
249,201607,101499,507.72,507.72,0,0,0,0,0,0,0,0
250,201601,10168,2129.68,2129.68,0,0,0,0,0,0,0,0
251,201602,10168,1209.63,1209.63,0,0,0,0,0,0,0,0
252,201605,10168,1972.69,1972.69,0,0,0,0,0,0,0,0
253,201606,10168,1210.53,1210.53,0,0,0,0,0,0,0,0
254,201607,10168,1207.49,1207.49,0,0,0,0,0,0,0,0
255,201601,101739,1211.66,1211.66,0,0,0,0,0,0,0,0
256,201603,101739,84.82,84.82,0,0,0,0,0,0,0,0
257,201606,101739,84.59,84.59,0,0,0,0,0,0,0,0
258,201601,101820,181812,181812,0,0,0,0,0,0,0,0
259,201602,101820,246151,246151,0,0,0,0,0,0,0,0
260,201603,101820,217955.5,217955.5,0,0,0,0,0,0,0,0
261,201604,101820,285602.25,285602.25,0,0,0,0,0,0,0,0
262,201605,101820,301482.9,301482.9,0,0,0,0,0,0,0,0
263,201606,101820,249423.44,249423.44,0,0,0,0,0,0,0,0
264,201607,101820,145285.19,145285.19,0,0,0,0,0,0,0,0
265,201608,101820,42955.44,27452,0,15503.44,0,0,0,0,0,0
266,201609,101820,2937,2937,0,0,0,0,0,0,0,0
267,201702,101820,27655,27655,0,0,0,0,0,0,0,0
268,201703,101820,26950,26950,0,0,0,0,0,0,0,0
269,201704,101820,37500,37500,0,0,0,0,0,0,0,0
270,201705,101820,37500,37500,0,0,0,0,0,0,0,0
271,201601,10185,30369.49,30369.49,0,0,0,0,0,0,0,0
272,201602,10185,53248.7,53248.7,0,0,0,0,0,0,0,0
273,201603,10185,62137.13,62137.13,0,0,0,0,0,0,0,0
274,201604,10185,41021.8,41021.8,0,0,0,0,0,0,0,0
275,201605,10185,58368.28,58368.28,0,0,0,0,0,0,0,0
276,201606,10185,23498.58,23498.58,0,0,0,0,0,0,0,0
