id,video_week1,text_week1,video_week2,text_week2,video_week3,text_week3,video_week4,text_week4,video_week5,text_week5,video_week6,text_week6,video_week7,text_week7,video_week8,text_week8,video_week9,text_week9,video_week10,text_week10,video_week11,text_week11,video_week12,text_week12,video_week13,text_week13,video_week14,text_week14,video_week15,text_week15,video_week16,text_week16,video_week17,text_week17,video_week18,text_week18
101208055,0,0,0,0,0,0,8128,0,148,0,376,0,0,0,13936,69,0,103,0,0,0,0,2085,0,0,0,0,0,0,0,0,0,124,0,723,45
101208056,0,0,0,81,0,40,0,65,0,1838,0,0,0,0,0,0,0,0,0,0,0,866,18354,0,0,0,0,0,0,0,0,0,0,1460,0,0
101208058,0,0,21601,0,2589,696,14732,143,374,487,15714,204,0,109,2765,80,0,0,0,129,1768,774,31980,0,0,21703,0,0,0,61,0,0,0,0,3910,0
101208060,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,9866,0,0,0,0,0,0,0,0,0,0,5194,0
101208062,0,0,0,141,0,62,0,176,0,62,0,0,0,0,0,218,0,506,0,50,0,56,0,0,0,40,0,0,0,0,0,0,719,0,879,0
101208064,0,0,0,0,0,0,0,74,0,2763,229,0,0,108,0,0,0,0,0,0,10926,0,136,0,0,0,0,0,0,1117,0,0,0,141,0,0
101208065,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
101208070,0,0,0,0,0,31,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101208078,0,0,0,33,0,53,0,0,0,44,934,284,0,0,0,0,0,0,0,0,0,763,1479,32,0,0,0,0,0,0,0,0,0,0,0,46
101208079,0,0,0,567,0,140,3478,4774,0,0,39,0,0,0,0,0,0,33,0,0,0,0,0,53,0,0,0,0,0,81,0,0,0,379,0,136
101208080,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,621,0,0,230,0,0,0,0,0,0,44,0,211,0,31,4355,0
101208082,0,0,64,546,0,0,0,127,4457,68,10155,93,0,0,0,0,0,0,0,0,261,583,16972,0,0,0,0,642,0,126,0,0,0,0,2159,0
101208084,49,0,0,0,4218,0,146,0,0,0,7034,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101208090,0,0,0,0,0,0,0,0,0,373,0,2709,0,0,0,2492,0,6271,0,220,0,45,43373,1804,0,59,0,0,0,0,0,0,0,1971,0,0
101208091,0,0,0,79,0,1381,0,515,0,355,0,6368,0,0,0,0,0,1372,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101208094,0,0,0,0,0,0,0,79,0,0,6132,0,0,5060,0,0,0,0,0,72,0,0,3492,154,0,75,0,0,0,97,0,109,0,0,1165,1588
101209037,0,0,0,0,0,0,0,35,6688,471,7461,1472,0,0,269,0,0,0,0,283,0,869,11245,0,0,76,0,0,0,401,0,0,0,3729,1844,0
101302049,0,0,0,0,0,43,0,0,0,0,0,139,0,0,0,124,0,0,0,0,0,257,0,288,0,0,0,0,0,0,0,0,0,330,0,5380
101401042,0,0,0,0,0,32,0,0,0,0,4910,0,0,119,0,0,0,0,0,0,0,0,5867,0,0,0,0,0,0,0,0,0,0,93,0,0
101502012,0,0,0,123,0,0,0,48,549,63,1570,0,0,53,0,0,0,101,0,117,0,0,71,274,0,0,0,0,0,0,0,78,0,0,0,533
102103012,0,0,0,187,0,0,0,31,17999,115,3499,3774,0,64,4997,0,8139,2974,0,170,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,5851,148
102205017,0,0,0,87,0,417,0,185,0,313,0,35,0,509,0,0,0,0,0,738,0,0,0,48,0,340,0,35,0,0,0,408,0,0,0,0
102205020,0,0,0,0,0,1074,0,5845,0,0,16298,553,0,0,0,53,0,0,0,0,0,0,98,4489,0,0,0,0,0,0,0,0,0,0,7720,338
102205022,0,0,187,66,0,3942,0,33,0,0,22710,473,0,0,48,1488,0,0,0,0,0,37,455,0,0,0,0,0,0,0,0,0,0,0,1203,0
102205024,0,0,0,0,0,39,0,54,0,0,0,131,0,0,0,53,0,700,0,31,0,45,0,0,0,34,0,136,0,0,0,0,0,0,0,0
102205030,0,0,0,39,0,0,0,0,0,2834,0,13725,0,0,0,0,0,0,0,122,0,0,336,52,0,0,0,0,0,0,0,0,0,80,0,5740
102205033,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,31,6930,64,0,0,0,0,0,0,0,0,0,0,1191,0
102205051,0,0,0,0,0,1028,0,0,0,44,0,33,0,0,0,55,0,0,0,0,649,0,1481,0,0,0,0,0,0,0,0,0,7903,0,3270,0
102205081,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14231,0,0,0,0,0,0,0,0,0,0,0,1036,0
102205092,0,0,0,0,0,157,0,198,0,4377,0,3292,0,0,0,99,0,0,0,0,0,0,0,1391,0,123,0,0,0,118,0,0,0,0,4814,642
102205095,0,0,0,42,0,270,0,0,0,108,0,0,0,98,0,41,0,0,0,32,0,45,0,0,0,41,0,208,0,45,0,0,0,0,0,0
102208001,349,0,0,52,0,98,0,1211,0,2927,7339,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102208002,0,0,0,0,0,0,0,0,48,0,0,1912,0,0,0,0,0,174,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,140
102208004,0,0,123,0,415,2559,0,0,1046,0,12056,575,0,0,0,2715,0,95,0,0,0,2019,444,441,0,0,0,1078,0,408,0,0,0,1450,0,1363
102208005,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
102208006,0,0,0,0,0,0,48,106,0,0,1547,0,0,0,0,0,0,33,0,0,21148,226,0,0,0,0,0,0,0,0,0,0,0,55,12908,1176
102208007,0,0,0,0,32,83,0,65,0,0,1499,1741,0,0,0,1157,0,58,0,2158,0,88,13201,0,0,0,0,50,0,0,0,0,0,0,4598,42
102208010,0,0,0,122,0,0,7848,31,778,32,3118,0,115,97,0,86,0,0,0,12457,0,0,6544,37,0,32,1813,0,0,0,0,0,0,61,16332,0
102208014,0,0,0,0,0,0,21601,1489,3853,132,233,0,0,0,0,159,0,0,0,235,0,0,1216,21899,0,0,234,0,0,0,0,0,0,0,1398,157
102208017,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,482,0,334,6680,123,0,374,0,0,0,0,0,0,0,0,11356,0
102208018,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,33,0,0,0,0,0,0,186,0,0,31,0,0,0,64,0,0,0,0,0,0
