id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,original,semester
102208089,782,780,780,785,784,110,780,782,730,780,784,730,782,782,220,782,782,782,40,66.1,80
102208086,782,782,782,782,750,750,782,750,785,750,710,785,750,787,750,782,782,720,33,83.5,96
102208085,782,782,782,740,782,230,782,782,785,782,782,785,782,782,782,782,782,782,40,71.8,84
102208084,782,782,720,782,782,750,782,782,782,782,450,750,782,782,782,230,782,850,12,52.3,65
102208083,782,730,789,782,782,460,785,782,770,730,780,570,720,789,782,782,780,560,15,48.2,61
102208082,782,782,782,782,750,470,782,785,782,782,760,770,784,782,782,782,782,785,33,81.2,94
102208078,782,787,789,782,787,420,785,785,782,782,750,784,230,789,750,782,785,640,12,53.3,66
102208074,782,782,782,784,782,780,782,782,780,782,760,140,782,782,782,784,782,630,40,65.6,78
102208073,782,782,460,450,782,785,450,782,785,782,782,550,782,782,782,782,782,784,40,67.4,80
102208068,782,782,750,785,782,410,785,782,784,782,782,770,782,782,785,782,787,785,12,54.4,67
102208066,782,720,787,785,750,220,730,784,787,782,760,750,780,789,770,782,787,630,40,64.2,77
102208065,782,782,785,750,782,789,782,784,785,782,785,782,782,785,720,782,782,782,11,59.2,72
102208064,782,782,782,782,782,740,782,782,782,782,782,820,782,782,782,782,782,782,20,34.1,47
102208063,782,782,789,720,750,760,782,750,782,782,120,520,782,210,785,340,782,210,14,55.3,68
102208062,782,782,730,782,782,760,782,782,782,230,787,860,782,782,782,782,787,782,20,28.2,41
102208061,782,787,782,782,782,270,720,782,782,782,782,782,785,782,782,782,782,782,31,75.7,88
102208060,782,782,782,782,810,450,782,782,782,782,782,750,782,782,782,782,782,784,16,44.1,57
102208059,782,710,730,782,784,290,850,770,770,785,740,640,770,785,782,782,850,782,12,54.2,67
102208057,782,784,780,780,110,430,782,782,782,782,782,570,782,782,782,785,782,782,40,74.8,87
102208056,782,782,840,782,210,220,782,750,782,782,789,520,789,789,780,782,782,110,40,70.5,83
102208055,782,782,782,830,784,440,760,782,782,782,760,740,782,782,782,782,782,760,34,77.9,90
102208054,782,782,720,260,760,710,782,782,782,782,785,410,785,784,782,782,782,620,15,51.6,64
102208053,782,782,782,782,782,110,782,782,782,720,782,789,782,782,782,782,782,782,20,19.1,32
102208052,782,785,784,750,782,240,789,785,789,780,480,620,780,782,710,782,784,770,32,80.0,92
102208046,782,782,789,782,770,130,782,782,490,782,540,782,782,785,782,785,784,620,36,88.1,99
102208045,782,785,784,782,782,782,785,782,550,780,782,560,782,785,782,785,785,570,36,94.4,99
102208044,782,782,780,782,782,120,782,740,782,785,660,550,782,782,782,782,570,750,16,45.8,58
102208043,782,780,785,782,782,782,782,782,782,785,782,782,782,782,560,782,782,560,11,60.3,73
102208042,782,750,260,782,280,782,782,782,782,782,782,784,785,782,782,782,785,840,32,80.5,93
102208041,782,782,920,830,250,470,782,785,760,782,810,280,785,785,750,340,760,810,13,51.2,64
102208038,782,782,782,782,784,230,782,782,782,782,450,720,782,782,782,782,782,780,14,56.0,68
