TA_video_week1,TA_text_week1,Teacher_video_week1,Teacher_text_week1,TA_video_week2,TA_text_week2,Teacher_video_week2,Teacher_text_week2,TA_video_week3,TA_text_week3,Teacher_video_week3,Teacher_text_week3,TA_video_week4,TA_text_week4,Teacher_video_week4,Teacher_text_week4,TA_video_week5,TA_text_week5,Teacher_video_week5,Teacher_text_week5,TA_video_week6,TA_text_week6,Teacher_video_week6,Teacher_text_week6,TA_video_week7,TA_text_week7,Teacher_video_week7,Teacher_text_week7,TA_video_week8,TA_text_week8,Teacher_video_week8,Teacher_text_week8,TA_video_week9,TA_text_week9,Teacher_video_week9,Teacher_text_week9,TA_video_week10,TA_text_week10,Teacher_video_week10,Teacher_text_week10,TA_video_week11,TA_text_week11,Teacher_video_week11,Teacher_text_week11,TA_video_week12,TA_text_week12,Teacher_video_week12,Teacher_text_week12,TA_video_week13,TA_text_week13,Teacher_video_week13,Teacher_text_week13,TA_video_week14,TA_text_week14,Teacher_video_week14,Teacher_text_week14,TA_video_week15,TA_text_week15,Teacher_video_week15,Teacher_text_week15,TA_video_week16,TA_text_week16,Teacher_video_week16,Teacher_text_week16,TA_video_week17,TA_text_week17,Teacher_video_week17,Teacher_text_week17,TA_video_week18,TA_text_week18,Teacher_video_week18,Teacher_text_week18,id,clustered_label
0,0,0,0,0,0,0,0,0,419,0,904,0,765,0,1152,0,0,0,0,0,24,14185,766,0,0,0,55,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6624,0,3477,0,7718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2500,101208025,4;2;3;0;3;2;1;0;2;2;0;1
0,0,0,0,0,0,0,0,0,18,0,52,6,138,0,207,0,0,205,44,0,48,1487,493,0,0,0,0,0,0,9,153,4398,615,0,2347,0,10,0,19,0,0,0,103,0,0,21,40,0,0,0,12,0,0,0,33,63,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,101208031,4;2;3;1;3;3;2;1;3;3;1;1;4;2;1;0
0,0,11,6,0,9,15,78,18,40,0,74,0,0,0,24,0,0,144,45,0,0,0,0,0,0,0,34,0,6,0,24,0,9,0,19,0,8,0,7,0,20,0,23,0,5,0,0,13,18,0,6,0,20,0,9,0,18,0,59,0,5,0,9,0,6,0,24,0,0,0,36,101208034,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;1;3;2;2;0
0,0,0,0,0,0,19,26,0,833,115,551,0,22,6,34,0,0,0,0,0,30,25612,33,0,16,18,195,0,0,0,16,0,0,0,0,0,0,0,0,0,20,0,93,17601,38,8741,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,299,0,0,0,101208050,4;2;3;0;3;2;2;0
0,0,0,0,0,107,0,67,0,140,10,31,0,32,0,17,0,0,310,91,2753,0,1877,4122,0,92,0,22,0,5,0,20,0,203,0,77,0,3434,0,0,0,123,0,25,0,0,37707,6,0,214,0,18,0,13,0,331,0,38,0,87,0,0,0,0,11,0,0,64,0,0,0,773,101208052,4;2;1;0;2;2;1;1
0,0,0,0,0,135,0,29,0,40,0,73,0,0,0,16,0,0,0,21,0,0,0,19,0,15,0,51,0,39,0,32,0,0,0,0,0,0,0,0,0,11,0,59,0,17,0,0,0,11,0,129,0,0,0,2638,0,0,0,16,0,0,0,7699,0,0,0,20,0,0,0,0,101208053,4;2;3;1;3;3;2;1;3;3;1;1;4;2;0;1
0,0,0,0,0,26,0,29,0,13,0,66,0,14,0,0,0,6,6162,237,0,0,2413,1891,0,0,0,51,0,0,0,5,0,0,0,79,0,0,0,80,0,0,0,0,0,0,11692,407,0,0,0,0,0,0,0,57,0,0,0,83,0,0,0,0,0,0,0,24,0,0,0,13,101208054,4;2;3;1;3;3;0;1;2;3;0;2
0,0,0,0,0,0,0,0,0,0,16,17,0,0,8128,37,0,0,164,0,73,0,337,15,0,0,0,0,0,0,13936,180,0,0,0,118,0,0,0,0,0,0,0,0,1872,6,245,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,5,680,6,53,63,101208055,4;2;3;1;3;3;2;0
0,0,0,0,0,30,0,81,0,34,0,40,0,15,0,65,0,0,0,1862,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,6,0,18354,14,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,8,0,0,0,1460,0,0,0,0,101208056,4;2;1;0;2;2;1;0
0,0,17,14,0,19,21601,37,0,20,2589,707,14732,0,0,143,0,0,382,487,0,0,15741,217,0,15,0,109,1571,80,1194,17,0,0,0,0,0,129,0,47,0,0,1768,774,10025,0,21955,0,0,21,0,21703,0,15,0,29,0,6,0,61,0,0,0,6,0,0,0,12,3916,9,0,0,101208058,4;2;1;0;2;2;0;1
