clustered_label,0,1,2
3730,0.0,0.0,0.0
3730,0.0,0.0,0.0
2800,1.0,0.0,0.0
3730,0.0,0.0,0.0
3730,0.0,0.0,0.0
3730,0.0,0.0,0.0
3730,0.0,0.0,0.0
3730,0.0,0.0,0.0
3730,1.0,0.0,0.0
3730,1.0,0.0,0.0
3730,1.0,0.0,0.0
3730,1.0,0.0,0.0
3730,1.0,0.0,0.0
2400,1.0,1.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,1.0,1.0,0.0
3730,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2500,0.0,0.0,0.0
2500,0.0,0.0,0.0
3730,0.0,0.0,0.0
2400,0.0,0.0,0.0
2400,0.0,0.0,0.0
2500,0.0,0.0,0.0
9730,1.0,0.0,0.0
9730,0.0,0.0,0.0
9670,0.0,0.0,0.0
6800,0.0,0.0,0.0
6800,0.0,0.0,0.0
9730,1.0,0.0,0.0
9730,0.0,0.0,0.0
3754,0.0,0.0,0.0
9720,0.0,0.0,0.0
9720,0.0,0.0,0.0
9750,0.0,0.0,0.0
9720,0.0,0.0,0.0
9750,0.0,0.0,0.0
6800,0.0,0.0,0.0
9720,0.0,0.0,0.0
9720,0.0,0.0,0.0
6800,0.0,0.0,0.0
6800,0.0,0.0,0.0
9720,0.0,0.0,0.0
9720,0.0,0.0,0.0
9750,0.0,0.0,0.0
9720,0.0,0.0,0.0
6800,0.0,0.0,0.0
9670,0.0,0.0,0.0
9720,0.0,0.0,0.0
9730,0.0,0.0,0.0
