index,id,clustered_label,0,1,2
52.0,102208024,6435.0,0,0,0
53.0,102208023,3100.0,0,0,0
54.0,102208022,2600.0,0,0,0
55.0,102208021,3200.0,0,0,0
56.0,102208018,6434.0,0,0,0
57.0,102208017,6500.0,0,0,0
58.0,102208014,3400.0,0,0,0
59.0,102208010,6110.0,0,0,0
60.0,102208007,5300.0,0,0,0
61.0,102208006,6434.0,0,0,0
62.0,102208005,6600.0,0,0,0
63.0,102208004,3600.0,0,0,0
64.0,102208002,6300.0,0,0,0
65.0,102208001,6130.0,0,0,0
66.0,102205095,6434.0,1,0,0
67.0,102205092,2200.0,0,0,0
68.0,102205081,6459.0,0,0,0
69.0,102205051,6500.0,0,0,0
70.0,102205033,6459.0,0,0,0
71.0,102205030,6160.0,1,0,0
72.0,102205024,6420.0,0,0,0
73.0,102205022,6140.0,0,0,0
74.0,102205020,6300.0,0,0,0
75.0,102205017,6434.0,0,0,0
76.0,102103012,6150.0,0,0,0
77.0,101502012,6450.0,0,0,0
78.0,101401042,6300.0,0,0,0
79.0,101209037,3600.0,0,0,0
80.0,101208094,2500.0,0,0,0
81.0,101208091,6140.0,0,0,0
82.0,101208090,3300.0,0,0,0
83.0,101208084,3600.0,0,0,0
84.0,101208082,3500.0,0,0,0
85.0,101208080,6420.0,0,0,0
86.0,101208079,6409.0,0,0,0
87.0,101208078,4300.0,0,0,0
88.0,101208070,6434.0,0,0,0
89.0,101208065,6434.0,0,0,0
90.0,101208064,2200.0,0,0,0
91.0,101208062,6450.0,0,0,0
92.0,101208060,6300.0,0,0,0
93.0,101208058,4100.0,0,0,0
94.0,101208056,2600.0,0,0,0
95.0,101208055,3100.0,0,0,0
96.0,101208054,4200.0,0,0,0
97.0,101208053,6200.0,0,0,0
98.0,101208052,4200.0,0,0,0
99.0,101208050,3500.0,0,0,0
100.0,101208034,6434.0,0,0,0
101.0,101208031,6300.0,0,0,0
102.0,101208025,4400.0,0,0,0
103.0,101208017,6110.0,0,0,0
104.0,101208015,4200.0,0,0,0
105.0,101208008,6434.0,0,0,0
106.0,101208005,6434.0,0,0,0
107.0,101208004,6600.0,0,0,0
108.0,101208003,6434.0,0,0,0
109.0,101208002,2200.0,0,0,0
110.0,101205093,4400.0,0,0,0
111.0,101205043,6450.0,0,0,0
112.0,101205029,6600.0,0,0,0
113.0,101204026,6440.0,0,0,0
114.0,101203054,6432.0,0,0,0
115.0,101103034,6433.0,0,0,0
116.0,101102026,6300.0,0,0,0
117.0,101102025,6140.0,0,0,0
118.0,101101050,6434.0,0,0,0
119.0,100508018,2400.0,0,0,0
120.0,100401072,5100.0,0,0,0
121.0,100401044,5300.0,0,0,0
122.0,100206009,5400.0,0,0,0
123.0,100202044,4400.0,0,0,0
124.0,100104041,6433.0,1,0,0
125.0,100101021,6432.0,0,0,0
126.0,none,1000.0,0,0,0
127.0,none,6140.0,0,0,0
128.0,none,6433.0,0,0,0
129.0,none,6434.0,0,0,0
130.0,none,6420.0,0,0,0
131.0,none,6434.0,0,0,0
132.0,none,4400.0,1,0,0
133.0,none,6434.0,0,0,0
134.0,none,6434.0,0,0,0
135.0,none,2500.0,0,0,0
136.0,none,3100.0,0,0,0
137.0,none,6433.0,0,0,0
138.0,none,6434.0,0,0,0
139.0,none,2400.0,0,0,0
140.0,none,6420.0,1,0,0
141.0,none,6420.0,0,0,0
142.0,none,6435.0,0,0,0
143.0,none,6500.0,0,0,0
144.0,none,2400.0,0,0,0
145.0,none,6300.0,0,0,0
146.0,none,6434.0,0,0,0
147.0,none,3200.0,0,0,0
148.0,none,6500.0,0,0,0
149.0,none,3400.0,0,0,0
150.0,none,6432.0,0,0,0
151.0,none,6459.0,0,0,0
152.0,none,6433.0,0,0,0
153.0,none,4200.0,0,0,0
154.0,none,6300.0,0,0,0
155.0,none,6434.0,0,0,0
156.0,none,3300.0,0,0,0
157.0,none,6434.0,0,0,0
158.0,none,6434.0,0,0,0
159.0,none,6432.0,0,0,0
160.0,none,6600.0,0,0,0
161.0,none,6409.0,1,0,0
162.0,none,3200.0,0,0,0
163.0,none,6600.0,0,0,0
164.0,none,6432.0,0,0,0
165.0,none,5300.0,0,0,0
166.0,none,6434.0,0,0,0
167.0,none,6200.0,0,0,0
168.0,none,4200.0,0,0,0
169.0,none,2400.0,0,0,0
170.0,none,6435.0,0,0,0
171.0,none,5300.0,0,0,0
172.0,none,2500.0,0,0,0
173.0,none,6130.0,0,0,0
174.0,none,6434.0,0,0,0
175.0,none,6450.0,0,0,0
176.0,none,6450.0,0,0,0
177.0,none,6434.0,0,0,0
178.0,none,6300.0,0,0,0
179.0,none,3100.0,0,0,0
180.0,none,6300.0,0,0,0
181.0,none,6500.0,0,0,0
182.0,none,6434.0,0,0,0
183.0,none,2500.0,0,0,0
184.0,none,3100.0,0,0,0
185.0,none,3100.0,0,0,0
186.0,none,6450.0,0,0,0
187.0,none,3600.0,0,0,0
188.0,none,3100.0,0,0,0
189.0,none,6600.0,0,0,0
190.0,none,4200.0,0,0,0
191.0,none,6434.0,0,0,0
192.0,none,6459.0,0,0,0
193.0,none,6600.0,0,0,0
194.0,none,2200.0,0,0,0
195.0,none,6432.0,0,0,0
196.0,none,2400.0,0,0,0
197.0,none,6434.0,0,0,0
198.0,none,6435.0,0,0,0
199.0,none,6600.0,0,0,0
200.0,none,6432.0,0,0,0
201.0,none,6434.0,0,0,0
202.0,none,6600.0,0,0,0
203.0,none,6300.0,0,0,0
204.0,none,6420.0,0,0,0
205.0,none,6434.0,0,0,0
206.0,none,6434.0,0,0,0
207.0,none,6435.0,0,0,0
208.0,none,6435.0,0,0,0
209.0,none,6420.0,0,0,0
210.0,none,6434.0,0,0,0
211.0,none,6435.0,0,0,0
