index,CUSTOMER_NUM,clustered_label,0,1,2,3
154,9803,3300,1,1,1,1
155,9801,3560,1,1,1,1
156,98001,3560,1,1,1,0
157,9798,3560,1,1,1,0
158,97964,3560,1,1,1,1
159,9790,3560,1,1,1,1
161,97859,4110,1,1,1,0
162,9782,5500,0,0,0,0
163,97799,6300,0,0,0,0
164,9771,6509,0,0,0,0
165,9764,3300,1,1,0,0
166,97560,3560,1,1,0,0
167,9751,6400,0,0,0,0
169,9745,6200,0,0,0,0
170,9736,3800,1,1,1,1
171,97241,3700,1,1,1,1
173,97120,3700,1,0,0,0
174,97060,3800,0,0,0,0
176,96984,2300,1,1,1,1
177,96964,1300,0,0,0,0
178,96862,2120,1,0,0,0
179,96801,4170,0,0,0,0
180,9680,3560,0,0,0,0
181,96742,3300,0,0,0,0
182,9674,5400,0,0,0,0
183,96704,5400,0,0,0,0
185,9667,1100,0,0,0,0
186,96642,3560,1,1,1,1
187,96602,5400,0,0,0,0
190,96534,4600,1,1,0,0
191,96528,5400,0,0,0,0
192,96483,3560,0,0,0,0
193,96441,3560,1,1,0,0
194,9644,6509,1,1,1,1
195,96419,5400,0,0,0,0
196,9635,3100,1,1,1,1
198,96242,3700,0,0,0,0
199,9622,3560,1,1,0,0
200,96159,3560,0,0,0,0
201,96125,1800,0,0,0,0
202,9609,6100,1,1,1,1
203,9598,6800,0,0,0,0
204,9592,6700,1,1,0,0
205,9580,3560,0,0,0,0
206,95799,3560,1,1,1,1
207,95599,5400,1,1,1,1
208,9555,3560,1,1,1,1
209,95463,3560,1,1,1,1
210,9546,2200,1,1,1,1
211,95425,3400,1,1,0,0
213,95302,3200,0,0,0,0
214,95279,5600,0,0,0,0
215,9527,2110,1,1,0,0
216,95181,6400,1,0,0,0
217,95159,1800,0,0,0,0
218,9508,3560,1,1,1,1
219,9506,3560,1,1,1,1
220,9502,3560,1,1,1,1
221,94964,1100,0,0,0,0
222,9471,1600,0,0,0,0
225,94419,2700,1,1,0,0
226,9433,6800,1,1,1,1
227,9428,3400,1,1,1,1
228,94219,6100,1,1,0,0
229,9419,2110,0,0,0,0
230,94180,2110,1,1,1,1
232,94060,2100,0,0,0,0
233,93961,2120,0,0,0,0
234,9375,3560,1,0,0,0
236,93664,3560,1,0,0,0
240,93386,6100,1,0,0,0
243,9313,3300,1,1,1,1
244,93120,2110,1,0,0,0
245,93063,3400,0,0,0,0
246,92999,4510,1,0,0,0
247,9296,2120,1,0,0,0
251,92622,3300,0,0,0,0
252,92502,3560,0,0,0,0
253,92420,6700,0,0,0,0
255,9235,6800,0,0,0,0
256,9229,3560,1,1,1,1
257,92259,1200,0,0,0,0
258,9223,6200,1,1,1,1
259,9221,3560,1,1,1,1
260,92165,1700,0,0,0,0
261,9216,3560,1,1,1,1
262,92156,3560,1,1,1,1
263,9213,3100,1,1,1,1
264,92095,1500,0,0,0,0
265,92086,3560,1,1,1,1
266,9208,1600,0,0,0,0
