id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week2,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week3,week30,week31,week32,week33,week34,week35,week36,week4,week5,week6,week7,week8,week9
101208002,0.686,0.686,0.686,0.66,0.686,0.686,0.686,0.62,0.684,0.686,0.686,0.63,0.686,0.686,0.686,0.13,0.66,0.686,0.686,0.686,0.685,0.55,0.61,0.686,0.686,0.686,0.686,0.686,0.687,0.686,0.686,0.38,0.685,0.686,0.686,0.686
101205093,0.686,0.684,0.55,0.25,0.63,0.682,0.64,0.686,0.686,0.15,0.65,0.684,0.686,0.688,0.65,0.686,0.72,0.686,0.686,0.686,0.58,0.685,0.686,0.686,0.686,0.76,0.686,0.686,0.686,0.15,0.62,0.682,0.63,0.686,0.686,0.686
101205043,0.684,0.686,0.686,0.687,0.684,0.684,0.686,0.686,0.686,0.48,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.23,0.684,0.686,0.58,0.686,0.686,0.63
101205029,0.686,0.682,0.93,0.33,0.686,0.96,0.65,0.684,0.684,0.686,0.684,0.682,0.95,0.65,0.95,0.93,0.61,0.686,0.686,0.62,0.95,0.66,0.65,0.686,0.686,0.95,0.686,0.65,0.686,0.62,0.686,0.683,0.35,0.684,0.686,0.64
101204026,0.686,0.686,0.15,0.64,0.62,0.681,0.686,0.686,0.686,0.77,0.686,0.63,0.77,0.686,0.685,0.686,0.686,0.67,0.686,0.63,0.67,0.686,0.683,0.682,0.686,0.686,0.686,0.686,0.686,0.686,0.39,0.682,0.686,0.686,0.686,0.681
101203054,0.686,0.686,0.683,0.77,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.57,0.686,0.683,0.686,0.682,0.682,0.95,0.686,0.686,0.63,0.686,0.686,0.683,0.685,0.681,0.67,0.93,0.686,0.683,0.686,0.686,0.64
101103034,0.686,0.686,0.684,0.61,0.686,0.681,0.686,0.686,0.683,0.36,0.686,0.684,0.686,0.686,0.686,0.57,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.684,0.686,0.686,0.686,0.686,0.684,0.686,0.684,0.686,0.681,0.95
101102026,0.686,0.686,0.686,0.66,0.686,0.686,0.686,0.686,0.686,0.682,0.686,0.686,0.686,0.686,0.63,0.54,0.686,0.686,0.63,0.686,0.686,0.66,0.684,0.686,0.686,0.686,0.686,0.686,0.39,0.686,0.684,0.684,0.63,0.686,0.686,0.686
101102025,0.686,0.684,0.686,0.63,0.686,0.683,0.681,0.684,0.686,0.64,0.686,0.686,0.684,0.686,0.54,0.55,0.686,0.686,0.684,0.67,0.683,0.684,0.684,0.684,0.686,0.51,0.684,0.683,0.66,0.686,0.63,0.62,0.36,0.684,0.62,0.684
101101050,0.686,0.686,0.683,0.686,0.684,0.686,0.684,0.686,0.686,0.686,0.686,0.685,0.686,0.67,0.62,0.686,0.686,0.683,0.681,0.686,0.63,0.686,0.683,0.63,0.686,0.63,0.683,0.686,0.686,0.686,0.686,0.684,0.686,0.682,0.686,0.683
100508018,0.686,0.683,0.688,0.681,0.686,0.686,0.686,0.62,0.37,0.686,0.682,0.684,0.51,0.57,0.686,0.685,0.54,0.684,0.686,0.686,0.686,0.67,0.64,0.686,0.686,0.683,0.686,0.63,0.14,0.686,0.64,0.36,0.684,0.684,0.686,0.684
100401072,0.686,0.682,0.57,0.91,0.686,0.683,0.96,0.684,0.21,0.95,0.686,0.686,0.57,0.686,0.681,0.64,0.686,0.13,0.686,0.686,0.45,0.67,0.683,0.686,0.686,0.686,0.686,0.686,0.684,0.47,0.684,0.63,0.54,0.683,0.686,0.67
100401044,0.686,0.686,0.686,0.76,0.686,0.686,0.686,0.686,0.39,0.96,0.686,0.686,0.96,0.686,0.687,0.22,0.686,0.686,0.686,0.686,0.95,0.67,0.681,0.686,0.686,0.686,0.686,0.686,0.92,0.66,0.686,0.686,0.97,0.681,0.67,0.686
100206009,0.686,0.686,0.686,0.65,0.682,0.684,0.64,0.683,0.683,0.681,0.684,0.686,0.686,0.686,0.686,0.45,0.43,0.686,0.46,0.15,0.66,0.67,0.67,0.686,0.686,0.686,0.686,0.686,0.684,0.13,0.686,0.67,0.97,0.686,0.64,0.686
100202044,0.686,0.686,0.61,0.35,0.686,0.684,0.683,0.684,0.686,0.23,0.686,0.686,0.686,0.686,0.66,0.686,0.36,0.686,0.686,0.686,0.57,0.686,0.683,0.686,0.686,0.63,0.683,0.686,0.686,0.37,0.62,0.684,0.686,0.684,0.684,0.683
100104041,0.686,0.62,0.63,0.686,0.681,0.683,0.681,0.681,0.686,0.37,0.686,0.683,0.64,0.686,0.684,0.686,0.686,0.63,0.686,0.686,0.683,0.64,0.686,0.686,0.686,0.684,0.686,0.683,0.47,0.686,0.686,0.684,0.686,0.63,0.684,0.51
100101021,0.686,0.684,0.684,0.67,0.684,0.681,0.681,0.63,0.66,0.686,0.686,0.683,0.683,0.686,0.681,0.683,0.686,0.684,0.684,0.686,0.95,0.686,0.684,0.686,0.686,0.684,0.686,0.686,0.686,0.685,0.683,0.681,0.682,0.684,0.684,0.684
