id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101302049,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,1653
101209037,13,13,13,13,15,15,13,13,13,13,12,20,13,13,13,13,11,13,1460
101208094,13,13,13,13,13,15,40,13,13,13,13,16,13,13,13,13,13,12,1500
101208091,13,13,12,13,13,40,13,13,12,13,13,13,13,13,13,13,13,13,6400
101208090,13,13,13,13,13,11,13,11,40,13,13,60,13,13,13,13,14,13,5520
101208084,13,13,15,13,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208082,13,13,13,13,15,50,13,13,13,13,13,60,13,12,13,13,13,16,5100
101208080,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,1656
101208079,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208078,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,1653
101208070,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208065,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208064,13,13,13,13,11,13,13,13,13,13,50,13,13,13,12,13,13,13,1300
101208062,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208060,13,13,13,13,13,13,13,13,13,13,13,30,13,13,13,13,13,20,1450
101208058,13,50,12,60,13,50,13,16,13,13,12,50,40,13,13,13,13,20,5200
101208056,13,13,13,13,12,13,13,13,13,13,12,50,13,13,13,13,12,13,5620
101208055,13,13,13,15,13,13,13,50,13,13,13,16,13,13,13,13,13,13,1100
101208054,13,13,13,13,15,12,13,13,13,13,13,50,13,13,13,13,13,13,5620
101208053,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,40,13,13,1620
101208052,13,13,13,13,13,11,13,13,13,14,13,50,13,13,13,13,13,12,5620
101208050,13,13,12,13,13,50,13,13,13,13,13,60,13,13,13,13,13,13,5100
101208034,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208031,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,1639
101208025,13,13,12,12,13,50,13,13,13,13,40,40,13,13,13,13,13,11,6600
101208017,13,13,12,13,50,12,13,13,13,13,13,20,13,13,13,13,13,16,4200
101208015,13,13,13,13,12,12,13,13,13,13,13,50,13,13,13,13,13,16,5620
101208013,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,1653
101208008,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208005,13,13,13,13,14,13,13,13,13,13,13,16,13,13,13,13,13,13,1651
101208004,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
101208003,13,13,13,13,13,16,13,13,13,13,13,16,13,13,13,13,13,13,1651
101208002,13,12,14,13,40,13,13,13,13,13,13,16,13,13,13,12,13,13,4200
101205093,13,13,13,12,13,13,13,13,13,13,15,30,12,13,13,13,13,50,3510
101205043,13,13,13,13,13,15,13,13,12,13,13,13,13,13,13,13,13,50,3600
101205029,13,13,16,13,13,11,13,13,13,13,20,11,13,20,16,13,13,13,1660
101204026,13,13,13,11,13,13,13,13,13,13,50,13,12,13,13,13,13,60,3339
101203054,13,13,13,20,13,13,13,13,12,13,13,60,13,13,13,13,13,13,5510
101203004,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101103034,13,13,13,13,13,13,13,13,16,13,13,14,13,13,13,13,13,11,1656
101102026,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101102025,13,13,13,13,12,11,13,12,13,13,13,13,13,13,13,13,13,12,1655
101101050,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
100508018,13,13,12,13,11,13,13,13,13,13,13,13,13,13,13,12,40,13,2000
100401072,13,13,13,13,13,15,13,13,13,13,15,20,13,13,20,13,40,20,2000
100401044,13,13,13,13,13,20,13,13,13,13,13,60,13,13,13,13,11,20,5529
100208053,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,1651
100206009,13,13,13,13,13,20,13,12,13,13,13,16,13,13,13,13,13,13,1654
100202044,13,13,13,12,13,13,13,13,13,13,14,11,13,13,13,13,13,40,3600
100104041,13,13,13,13,13,13,13,13,15,12,12,13,13,13,13,13,13,40,3600
100101021,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
