,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster
36,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3210
37,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3220
38,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3229
39,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3240
40,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,3300
41,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3310
42,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3330
43,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3339
44,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3400
45,0.0,0,0,0.2,0.0,0.2,0.4,0.0,0.0,0.2,3500
46,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3510
47,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3520
48,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3530
49,0.0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,3540
50,0.0,0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3600
51,0.2,0,0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,4000
52,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4100
53,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,4200
54,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300
55,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4400
56,0.0,0,0,0.047619047619047616,0.0,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.19047619047619047,0.2857142857142857,5000
57,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,5100
58,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5200
59,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5300
60,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5400
61,0.0,0,0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,5500
62,0.0,0,0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,5510
63,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5520
64,0.0,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,5520
65,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,5529
66,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5530
67,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5539
68,0.0,0,0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,5600
69,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5610
70,0.0,0,0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,5620
71,0.0,0,0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,5620
72,0.0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,5629
73,0.0,0,0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.23529411764705882,6000
74,0.0,0,0,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,6100
75,0.0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,6110
76,0.0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,6120
77,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6130
78,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6140
79,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6200
80,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6300
81,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,6400
82,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6500
83,0.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,6600
