,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,semester
45,102208061,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400,88
46,102208060,13,13,13,13,30,15,13,13,13,13,13,13,13,13,13,13,13,13,1610,57
47,102208059,13,12,13,13,13,12,14,16,16,13,13,60,16,13,13,13,14,13,5539,67
48,102208057,13,13,13,13,50,50,13,13,13,13,13,16,13,13,13,13,13,13,4100,87
49,102208056,13,13,14,13,40,40,13,12,13,13,13,20,13,13,13,13,13,50,3210,83
50,102208055,13,13,13,14,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653,90
51,102208054,13,13,12,11,13,12,13,13,13,13,13,15,13,13,13,13,13,60,3540,64
52,102208053,13,13,13,13,13,50,13,13,13,12,13,13,13,13,13,13,13,13,6110,32
53,102208052,13,13,13,13,13,40,13,13,13,13,15,20,13,13,12,13,13,16,6400,92
54,102208046,13,13,13,13,16,50,13,13,15,13,20,13,13,13,13,13,13,20,6130,99
55,102208045,13,13,13,13,13,13,13,13,20,13,13,20,13,13,13,13,13,20,1440,99
56,102208044,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600,58
57,102208043,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,13,13,20,1660,73
58,102208042,13,13,11,13,11,13,13,13,13,13,13,13,13,13,13,13,13,14,1658,93
59,102208041,13,13,30,14,11,15,13,13,13,13,30,11,13,13,12,40,13,30,1240,64
60,102208038,13,13,13,13,13,11,13,13,13,13,15,12,13,13,13,13,13,13,1655,68
61,102208034,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510,76
62,102208032,13,13,13,13,13,50,13,13,13,13,13,50,13,13,13,13,13,50,3100,68
63,102208030,13,13,13,13,15,50,40,30,15,13,60,13,13,13,16,13,12,13,6300,83
64,102208029,13,13,15,13,15,11,13,13,13,13,60,20,13,13,13,13,13,13,1300,99
65,102208024,13,13,40,13,13,13,13,13,13,13,13,16,13,13,13,13,13,16,1220,99
66,102208023,13,13,13,12,12,13,13,13,16,13,13,13,13,13,13,13,13,13,1656,99
67,102208022,13,13,13,13,13,15,13,13,13,13,13,60,13,13,13,13,13,20,5529,91
68,102208021,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630,84
69,102208018,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,94
70,102208017,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,20,1419,90
71,102208015,13,13,13,13,13,13,13,13,13,13,13,13,16,20,20,13,13,13,1660,0
72,102208014,13,13,13,50,15,13,13,13,13,13,13,40,13,13,13,13,13,16,5400,70
73,102208010,13,13,13,15,13,15,13,13,13,30,13,20,13,16,13,13,13,60,3530,95
74,102208007,13,13,13,13,13,12,13,12,13,12,13,60,13,13,13,13,13,20,5529,66
