index,id,clustered_label,0,1,2,3
76.0,102103012.0,85400.0,1,1,1,0
77.0,101502012.0,85660.0,0,0,0,0
78.0,101401042.0,16200.0,0,0,0,0
79.0,101209037.0,23000.0,1,0,0,0
80.0,101208094.0,62100.0,1,0,0,0
81.0,101208091.0,61300.0,1,1,1,0
82.0,101208090.0,53000.0,0,0,0,0
83.0,101208084.0,62400.0,1,1,1,1
84.0,101208082.0,61100.0,1,0,0,0
85.0,101208080.0,89300.0,1,0,0,0
86.0,101208079.0,85620.0,1,0,0,0
87.0,101208078.0,13400.0,0,0,0,0
88.0,101208070.0,85632.0,0,0,0,0
89.0,101208065.0,85632.0,0,0,0,0
90.0,101208064.0,15000.0,1,1,0,0
91.0,101208062.0,85635.0,0,0,0,0
92.0,101208060.0,74600.0,0,0,0,0
93.0,101208058.0,22000.0,0,0,0,0
94.0,101208056.0,16100.0,1,0,0,0
95.0,101208055.0,75000.0,0,0,0,0
96.0,101208054.0,11000.0,1,0,0,0
97.0,101208053.0,84000.0,0,0,0,0
98.0,101208052.0,13300.0,0,0,0,0
99.0,101208050.0,31000.0,0,0,0,0
100.0,101208034.0,85800.0,0,0,0,0
101.0,101208031.0,85100.0,1,1,0,0
102.0,101208025.0,12000.0,0,0,0,0
103.0,101208017.0,83000.0,1,1,1,1
104.0,101208015.0,16300.0,1,1,0,0
105.0,101208008.0,85632.0,0,0,0,0
106.0,101208005.0,74600.0,1,0,0,0
107.0,101208004.0,13200.0,0,0,0,0
108.0,101208003.0,85100.0,0,0,0,0
109.0,101208002.0,13200.0,0,0,0,0
110.0,101205093.0,43000.0,0,0,0,0
111.0,101205043.0,36000.0,1,0,0,0
112.0,101205029.0,85650.0,1,1,0,0
113.0,101204026.0,88000.0,0,0,0,0
114.0,101203054.0,89200.0,0,0,0,0
115.0,101103034.0,74600.0,1,0,0,0
116.0,101102026.0,85631.0,1,0,0,0
117.0,101102025.0,74600.0,0,0,0,0
118.0,101101050.0,85632.0,0,0,0,0
119.0,100508018.0,86000.0,0,0,0,0
120.0,100401072.0,32000.0,0,0,0,0
121.0,100401044.0,74500.0,1,1,0,0
122.0,100206009.0,74200.0,0,0,0,0
123.0,100202044.0,36000.0,1,0,0,0
,,,0,0,0,0
,,,1,1,1,0
,,,1,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,1,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,1,0,0,0
,,,0,0,0,0
,,,1,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,1,0,0,0
,,,1,1,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,1,1,0,0
,,,1,0,0,0
,,,0,0,0,0
,,,1,0,0,0
,,,1,0,0,0
,,,0,0,0,0
,,,1,0,0,0
,,,1,0,0,0
,,,0,0,0,0
,,,0,0,0,0
,,,0,0,0,0
