id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,clustered_label
101208064,6114,6113,6116,6140,6620,6112,6115,6116,6113,6113,5400,6112,6113,6114,6230,6114,6115,6114,6114,6114,6114,6115,1600,6330,6114,6114,6113,6114,5400,6114,6114,6120,6114,6114,5400,5600,5300
101208062,6114,6115,6113,6140,6113,6114,6113,6160,6150,6116,6113,6114,6113,6114,6113,6114,6130,6130,6114,6114,6250,6114,6116,6340,6114,6114,6114,4400,6114,6114,6114,6160,6114,6114,6160,6210,2130
101208060,6114,6114,6160,6114,6114,6114,6114,6114,6114,6114,6114,4200,6114,6114,6114,6114,6114,6550,6114,6114,6114,6114,5600,6120,6114,6114,6113,6114,6250,6114,6114,6113,6113,6115,6620,6240,2500
101208058,6114,1600,6360,3600,6160,5100,6115,6340,6114,6140,6260,1300,2100,6113,6113,6114,6114,6520,6114,5400,6113,6114,6114,5100,6114,6114,6114,6115,1100,6114,6114,6114,6114,6114,6114,5600,1500
101208056,6114,6116,6116,6113,6220,6114,6114,6114,6114,6114,6240,1600,6114,6114,6114,6114,6230,6114,6114,6114,6114,6114,1400,5100,6114,6114,6114,1100,5100,6114,6114,6114,6114,6114,1400,6114,6100
101208055,6114,6114,6114,5600,6112,6112,6114,5100,6115,6114,6114,6130,6114,6114,6114,6114,6114,6130,6114,6114,6114,6114,5400,6115,6112,6113,6114,1600,6114,6114,6114,6114,6112,6114,3600,6111,6400
101208054,6114,6116,6113,6114,5600,6260,6113,6114,6113,6113,6114,5400,6114,6113,6113,6114,6114,6114,6160,6114,6115,6113,6114,5600,6114,6115,6114,6114,5400,6114,6114,6114,6114,6114,6114,5400,2152
101208053,6114,6140,6116,6114,6114,6114,6113,6116,6114,6114,6113,6114,6115,6620,6114,2230,6114,6114,6114,6140,6114,6115,6114,6340,6116,6160,6116,6113,6114,6114,6114,5600,2400,6114,6114,6114,2300
101208052,6114,6140,6140,6116,6112,6609,6140,6114,6140,6409,6140,1400,6140,6160,6116,6114,6113,6240,6114,6140,6114,6114,6113,5100,6114,6113,6114,6114,1400,6115,6160,6113,6112,6114,6115,1200,1400
101208050,6114,6113,6250,6116,6114,1200,6160,6114,6114,6114,6115,3100,6114,6114,6114,6114,6113,6111,6114,6114,6114,6210,6114,1500,6114,6114,6114,5600,6520,6114,6114,6114,6114,6114,6112,5400,1100
101208034,6114,6113,6116,6114,6112,6114,6113,6114,6114,6114,6116,6114,6114,6114,6113,6114,6114,6113,6114,6114,6114,6114,6114,6114,6114,6113,6114,6120,6114,6114,5600,6115,6115,6114,6350,6114,2156
101208031,6114,6114,6113,6140,6112,6350,6114,6115,6540,6114,6115,6113,6114,6113,6114,6114,6114,6114,6114,6114,6114,6114,6350,6120,6114,6114,6115,6112,6114,6114,6114,6113,6114,6114,1400,3400,3300
101208025,6114,6114,6250,6250,6114,5100,6113,6114,6114,6114,2230,2400,6114,6114,6114,6114,6114,6210,6114,6114,1600,6114,6114,5500,6114,6114,6114,6114,5500,6114,6114,6114,6114,6114,6113,1400,1600
101208017,6114,6114,6240,6160,5400,6240,6113,6114,6114,6114,6114,3600,6114,6116,6114,6114,6114,6130,6114,5600,6114,6114,6509,6140,6114,6113,6114,6320,5600,6114,6114,6450,6114,6114,6114,6360,2500
101208015,6114,6114,6114,6114,6459,6260,6114,6114,6114,6114,6114,1600,6114,6114,6114,6114,6113,6509,6114,6114,6114,6114,6114,1600,6114,6114,6114,6114,5100,6114,6114,6114,6114,6114,1600,5400,3100
101208008,6114,6114,6114,6114,6160,6115,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6111,6114,6114,6114,6114,6114,6114,6114,6114,6114,6112,6120,6114,6114,6114,6114,6114,6120,6360,2156
101208005,6114,6114,6114,6114,6430,6114,6114,6113,6114,6114,6114,6150,6114,6114,6114,6120,6114,6140,6114,6114,6114,6114,5600,6112,6114,6114,6114,6114,6360,6114,6114,6114,6114,6114,6114,6114,2156
101208004,6114,6113,6113,6116,6113,6160,6114,6114,6114,6114,6114,6360,6113,6113,6113,6114,6114,6114,6114,6114,6114,6114,6113,6114,6113,6114,6114,6114,5400,6640,6114,6114,6114,6114,6114,6114,2156
101208003,6114,6114,6114,6114,6114,6130,6114,6114,6114,6114,6114,6509,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,6114,3400,6114,6114,6114,6114,6340,6114,6114,6114,6114,6114,6114,3600,1240
