TA_video,TA_text,Teacher_video,Teacher_text,id,week,clustered_label
0,0,0,0,100206009,week11,5521
1738,0,225,102,100206009,week12,5600
0,8,0,286,100206009,week13,5560
0,0,0,73,100206009,week14,5522
737,0,0,17,100206009,week15,5510
0,0,0,94,100206009,week16,5526
0,0,0,91,100206009,week17,5522
11,245,0,133,100206009,week18,5529
0,0,0,0,100208053,week1,5521
0,286,0,55,100208053,week2,5529
0,0,0,0,100208053,week3,5521
0,0,6,35,100208053,week4,5522
0,0,9,16,100208053,week5,5521
0,0,1419,0,100208053,week6,5300
0,0,0,18,100208053,week7,5521
0,0,0,16,100208053,week8,5521
0,0,0,24,100208053,week9,5521
0,0,0,0,100208053,week10,5521
0,0,0,23,100208053,week11,5521
0,0,4328,7,100208053,week12,4100
0,0,0,0,100208053,week13,5521
0,0,0,80,100208053,week14,5522
0,0,0,64,100208053,week15,5522
0,0,0,0,100208053,week16,5521
0,0,0,548,100208053,week17,5560
0,0,0,8,100208053,week18,5521
0,0,0,0,100401044,week1,5521
0,0,0,0,100401044,week2,5521
0,127,6,101,100401044,week3,5524
0,0,0,0,100401044,week4,5521
0,0,0,23,100401044,week5,5521
3553,43,3293,146,100401044,week6,4200
0,140,0,14,100401044,week7,5524
5,8,576,44,100401044,week8,5539
0,0,0,0,100401044,week9,5521
0,0,0,0,100401044,week10,5521
0,0,0,0,100401044,week11,5521
13304,63,0,4720,100401044,week12,2340
0,0,0,7,100401044,week13,5521
0,9,0,0,100401044,week14,5521
0,0,0,0,100401044,week15,5521
0,0,0,0,100401044,week16,5521
0,946,0,4180,100401044,week17,5260
4991,40,0,0,100401044,week18,5100
0,0,0,0,100401072,week1,5521
0,0,0,0,100401072,week2,5521
0,16,0,79,100401072,week3,5522
0,52,21,37,100401072,week4,5524
0,27,0,286,100401072,week5,5560
0,0,4607,0,100401072,week6,4100
0,5,0,105,100401072,week7,5526
0,0,0,0,100401072,week8,5521
0,26,945,86,100401072,week9,5300
0,25,0,208,100401072,week10,5560
0,288,6873,79,100401072,week11,4300
10261,991,3924,289,100401072,week12,2400
0,0,0,0,100401072,week13,5521
0,27,0,156,100401072,week14,5526
6327,76,0,95,100401072,week15,5100
0,0,0,68,100401072,week16,5522
0,5,0,10271,100401072,week17,3229
3629,543,6,420,100401072,week18,5100
0,0,0,0,100508018,week1,5521
0,19,15,60,100508018,week2,5522
12,815,0,40,100508018,week3,5550
22,344,48,242,100508018,week4,5529
0,0,0,2688,100508018,week5,5230
0,0,0,40,100508018,week6,5522
0,0,0,40,100508018,week7,5522
0,0,0,10,100508018,week8,5521
42,8,5,37,100508018,week9,5522
0,0,0,106,100508018,week10,5526
220,69,0,31,100508018,week11,5525
23,109,6,43,100508018,week12,5524
0,0,0,10,100508018,week13,5521
0,0,0,9,100508018,week14,5521
0,0,0,0,100508018,week15,5521
0,0,0,1615,100508018,week16,5400
0,0,0,8314,100508018,week17,3210
6,0,0,10,100508018,week18,5521
0,0,0,0,101101050,week1,5521
0,14,67,73,101101050,week2,5522
0,0,0,130,101101050,week3,5526
0,0,0,9,101101050,week4,5521
0,0,0,27,101101050,week5,5521
0,0,0,0,101101050,week6,5521
0,0,0,160,101101050,week7,5526
0,0,0,8,101101050,week8,5521
0,0,0,142,101101050,week9,5526
0,0,0,14,101101050,week10,5521
0,0,0,83,101101050,week11,5522
0,0,0,0,101101050,week12,5521
0,0,0,24,101101050,week13,5521
0,0,0,17,101101050,week14,5521
0,0,0,43,101101050,week15,5522
0,0,0,0,101101050,week16,5521
0,0,0,15,101101050,week17,5521
0,0,0,0,101101050,week18,5521
0,0,0,0,101102025,week1,5521
0,9,0,17,101102025,week2,5521
0,19,0,74,101102025,week3,5522
0,0,0,328,101102025,week4,5560
0,0,0,1547,101102025,week5,5400
0,0,10,2828,101102025,week6,5230
0,0,0,38,101102025,week7,5522
0,5,0,1684,101102025,week8,5400
0,5,0,39,101102025,week9,5522
0,38,0,36,101102025,week10,5522
0,0,0,21,101102025,week11,5521
0,0,0,436,101102025,week12,5560
0,0,0,0,101102025,week13,5521
0,0,0,89,101102025,week14,5522
0,84,0,11,101102025,week15,5524
0,6,0,45,101102025,week16,5522
0,63,0,9,101102025,week17,5524
0,1200,0,0,101102025,week18,5550
0,0,0,0,101102026,week1,5521
0,0,0,0,101102026,week2,5521
0,0,0,74,101102026,week3,5522
0,0,0,29,101102026,week4,5521
0,0,0,54,101102026,week5,5522
0,7,86,699,101102026,week6,5400
0,0,0,0,101102026,week7,5521
0,0,0,0,101102026,week8,5521
0,0,0,0,101102026,week9,5521
0,0,0,0,101102026,week10,5521
0,0,0,0,101102026,week11,5521
0,20,2676,582,101102026,week12,5300
0,0,0,0,101102026,week13,5521
0,0,0,0,101102026,week14,5521
0,0,0,0,101102026,week15,5521
0,0,0,0,101102026,week16,5521
0,0,0,0,101102026,week17,5521
0,0,0,222,101102026,week18,5560
0,0,0,0,101103034,week1,5521
0,21,10,30,101103034,week2,5522
0,0,0,0,101103034,week3,5521
0,20,0,23,101103034,week4,5521
0,0,0,20,101103034,week5,5521
0,0,0,67,101103034,week6,5522
0,0,0,0,101103034,week7,5521
0,93,0,0,101103034,week8,5524
2948,54,39,97,101103034,week9,5600
0,0,0,0,101103034,week10,5521
0,0,0,67,101103034,week11,5522
532,3074,235,29,101103034,week12,6300
0,0,0,0,101103034,week13,5521
0,81,0,0,101103034,week14,5524
0,0,0,0,101103034,week15,5521
0,12,0,0,101103034,week16,5521
0,0,0,94,101103034,week17,5526
30,447,50,2520,101103034,week18,5230
0,0,0,0,101203004,week1,5521
0,0,0,0,101203004,week2,5521
0,0,0,0,101203004,week3,5521
0,40,0,7,101203004,week4,5521
0,0,0,63,101203004,week5,5522
0,0,0,48,101203004,week6,5522
0,0,0,18,101203004,week7,5521
0,0,0,17,101203004,week8,5521
0,0,0,171,101203004,week9,5526
0,0,0,7,101203004,week10,5521
0,65,0,54,101203004,week11,5524
0,0,0,0,101203004,week12,5521
0,0,0,0,101203004,week13,5521
0,0,0,0,101203004,week14,5521
0,0,0,82,101203004,week15,5522
0,0,0,30,101203004,week16,5522
16,16,0,62,101203004,week17,5522
0,0,0,0,101203004,week18,5521
0,0,0,0,101203054,week1,5521
0,25,7,38,101203054,week2,5522
0,0,0,0,101203054,week3,5521
7811,16,154,9,101203054,week4,2400
5,0,0,17,101203054,week5,5521
0,5,6,100,101203054,week6,5526
0,0,0,5,101203054,week7,5521
0,0,0,10,101203054,week8,5521
0,1080,0,0,101203054,week9,5550
0,5,0,0,101203054,week10,5521
0,10,0,114,101203054,week11,5526
21234,17,0,43,101203054,week12,2200
0,0,0,0,101203054,week13,5521
0,0,0,0,101203054,week14,5521
0,5,0,16,101203054,week15,5521
0,0,0,0,101203054,week16,5521
0,0,0,0,101203054,week17,5521
0,0,0,0,101203054,week18,5521
0,0,0,0,101204026,week1,5521
0,10,17,292,101204026,week2,5560
0,7,0,110,101204026,week3,5526
0,5,0,4263,101204026,week4,5240
0,0,0,285,101204026,week5,5560
0,0,0,20,101204026,week6,5521
0,6,0,15,101204026,week7,5521
0,9,0,8,101204026,week8,5521
0,122,0,107,101204026,week9,5524
0,5,0,6,101204026,week10,5521
199,7,21601,146,101204026,week11,1400
727,0,0,6,101204026,week12,5510
0,95,0,1845,101204026,week13,5400
0,160,0,7,101204026,week14,5529
0,0,0,16,101204026,week15,5521
0,0,0,10,101204026,week16,5521
0,0,0,0,101204026,week17,5521
21601,0,0,7,101204026,week18,2200
0,0,0,0,101205029,week1,5521
0,35,27,203,101205029,week2,5560
1546,0,0,219,101205029,week3,5600
0,0,0,11,101205029,week4,5521
0,0,0,104,101205029,week5,5526
8,26,0,3262,101205029,week6,5220
