,cluster,mean,std
310,2628.0,0.03654,0.01172
311,3201.0,1e-05,4e-05
312,3202.0,0.00018,6e-05
313,3203.0,0.00051,0.00012
314,3204.0,0.00056,0.00014
315,3205.0,0.0011,0.00021
316,3206.0,0.00194,0.00029
317,3207.0,0.00283,0.00035
318,3208.0,0.0,1e-05
319,3209.0,1e-05,4e-05
320,3211.0,0.00019,0.00029
321,3212.0,0.00091,0.0002
322,3213.0,0.00137,0.0003
323,3214.0,0.00204,0.00041
324,3215.0,5e-05,9e-05
325,3216.0,0.00011,0.00013
326,3217.0,0.0001,0.00011
327,3218.0,8e-05,0.00012
328,3219.0,0.00057,0.00018
329,3221.0,0.00155,0.00042
330,3222.0,0.00014,0.00019
331,3223.0,0.00032,0.00027
332,3224.0,0.00032,0.00015
333,3225.0,0.00017,0.0002
334,3226.0,0.00016,0.0002
335,3227.0,0.00022,0.00033
336,3228.0,0.00195,0.00048
337,3229.0,0.00015,0.00019
338,3231.0,0.00102,0.00067
339,3232.0,0.00075,0.00024
340,3233.0,0.00021,0.00026
341,3234.0,0.0002,0.00028
342,3235.0,0.00054,0.00063
