,cluster,mean,std
113,22200.0,0.09187,0.01782
114,22300.0,0.08452,0.00643
115,22400.0,0.1454,0.02294
116,22500.0,0.03202,0.03011
117,22600.0,0.07757,0.02424
118,22700.0,0.07947,0.02244
119,22800.0,0.15801,0.04288
120,23100.0,0.05906,0.02119
121,23200.0,0.0,0.0
122,23300.0,0.03575,0.02773
123,23400.0,0.10602,0.0153
124,23500.0,0.07842,0.01437
125,23600.0,0.139,0.02076
126,23700.0,0.1217,0.01865
127,23800.0,0.15349,0.01421
128,24100.0,0.14276,0.00864
129,24200.0,0.11978,0.01894
130,24300.0,0.14042,0.04609
131,24400.0,0.1909,0.02395
132,24500.0,0.18636,0.02392
133,24600.0,0.23591,0.02572
134,24700.0,0.11394,0.01762
135,24800.0,0.15014,0.02295
136,25100.0,0.30606,0.02485
137,25200.0,0.439,0.05058
138,25300.0,0.82585,0.06127
139,25400.0,0.37996,0.04286
140,25500.0,0.49651,0.03952
141,25600.0,0.52381,0.0
142,26100.0,0.15419,0.02043
143,26200.0,0.10777,0.01173
144,26300.0,0.40163,0.02355
145,26400.0,0.28337,0.01937
146,27100.0,0.18041,0.01019
147,27200.0,0.22178,0.01587
148,27300.0,0.31891,0.00481
149,27400.0,0.25772,0.03008
150,27500.0,0.31501,0.0387
151,27600.0,0.20562,0.03749
152,27700.0,0.21094,0.02481
153,27800.0,0.25168,0.03565
154,28100.0,0.06706,0.03001
155,28200.0,0.02768,0.01675
156,28300.0,0.10694,0.02847
157,28400.0,0.00031,0.00109
158,28500.0,0.05415,0.01731
159,28600.0,0.18989,0.02784
160,31100.0,0.0185,0.00978
161,31200.0,0.04847,0.00837
162,31300.0,0.02937,0.01009
163,31400.0,0.05245,0.01636
164,31500.0,0.02856,0.00872
165,31600.0,0.05211,0.01621
166,31700.0,0.06037,0.01352
167,31800.0,0.06075,0.01596
168,32100.0,0.01239,0.00807
169,32200.0,0.02988,0.00698
170,32300.0,0.0155,0.01169
171,32400.0,0.01019,0.0033
172,32500.0,0.05407,0.0093
173,32600.0,0.00571,0.0038
174,33100.0,0.04939,0.01187
175,33200.0,0.03039,0.00782
176,33300.0,0.02798,0.00656
177,33400.0,0.03966,0.0087
178,33500.0,0.02219,0.00669
179,33600.0,0.01808,0.00753
180,33700.0,0.02124,0.00637
181,33800.0,0.01624,0.00557
182,33900.0,0.01794,0.00838
183,34100.0,0.07927,0.01202
184,34200.0,0.08931,0.01456
185,34300.0,0.3102,0.0
186,34400.0,0.04465,0.00651
187,34500.0,0.053,0.0079
188,34600.0,0.12201,0.02724
189,35100.0,0.04031,0.01602
190,35200.0,0.03946,0.02179
191,35300.0,0.03772,0.00699
192,35400.0,0.02393,0.00857
193,35500.0,0.01923,0.01012
194,35600.0,0.05872,0.0144
195,35700.0,0.02174,0.01197
196,35800.0,0.02029,0.01105
197,36100.0,0.14268,0.01155
198,36200.0,0.05013,0.01101
199,36300.0,0.05164,0.00973
200,36400.0,0.03287,0.01061
201,36500.0,0.02253,0.0081
202,36600.0,0.00461,0.00386
203,36700.0,0.03017,0.00899
204,36800.0,0.02931,0.00571
205,37100.0,0.06346,0.02003
206,37200.0,0.02215,0.01264
207,37300.0,0.03079,0.01398
208,37400.0,0.02901,0.01748
209,37500.0,0.03438,0.0123
210,37600.0,0.0303,0.01302
211,38100.0,0.05331,0.02095
212,38200.0,0.05607,0.01461
213,38300.0,0.03462,0.01244
214,38400.0,0.10218,0.00323
215,38500.0,0.11226,0.00967
216,38600.0,0.06118,0.01134
217,38700.0,0.02931,0.01237
218,38800.0,0.02624,0.01101
219,39100.0,0.11382,0.01578
220,39200.0,0.05467,0.00729
221,39300.0,0.13709,0.02212
222,39400.0,0.07829,0.01762
223,39500.0,0.06623,0.01167
224,39600.0,0.05208,0.01596
225,41100.0,0.30107,0.0787
226,41200.0,0.28395,0.04092
227,41300.0,0.21158,0.03531
228,41400.0,0.22347,0.01272
229,41500.0,0.20619,0.01952
230,41600.0,0.22178,0.06046
231,42100.0,0.23391,0.04016
232,42200.0,0.31159,0.03849
233,42300.0,0.18087,0.02863
234,42400.0,0.52381,0.0
235,42500.0,0.15375,0.0
236,42600.0,0.14581,0.0277
237,43100.0,0.01752,0.01291
238,43200.0,0.06538,0.02448
239,43300.0,0.11059,0.04083
240,43400.0,0.0837,0.02349
241,43500.0,0.14076,0.04644
242,43600.0,0.1805,0.04582
243,44100.0,0.20293,0.03457
244,44200.0,0.16508,0.02938
245,44300.0,0.29914,0.01259
246,44400.0,0.15889,0.02344
247,44500.0,0.31347,0.07265
248,44600.0,0.28239,0.03798
249,44700.0,0.16884,0.03632
250,44800.0,0.04626,0.0
251,45100.0,0.1912,0.00719
252,45200.0,0.10884,0.0
253,45300.0,0.0,0.0
254,45400.0,0.02884,0.0352
255,46100.0,0.1876,0.01006
256,46200.0,0.13059,0.02808
257,46300.0,0.14522,0.02766
258,46400.0,0.18699,0.0182
259,46500.0,0.13957,0.02722
260,46600.0,0.07677,0.02956
261,46700.0,0.10228,0.01393
262,46800.0,0.094,0.02118
263,46900.0,0.03402,0.01026
264,47100.0,0.60847,0.04639
265,47200.0,0.264,0.03657
266,47300.0,0.40068,0.0
267,47400.0,0.19614,0.03451
268,47500.0,0.25235,0.00845
269,47600.0,0.31463,0.01317
270,48100.0,0.14386,0.03231
271,48200.0,0.0,0.0
272,48300.0,0.04138,0.01525
273,48400.0,0.08777,0.02118
274,48500.0,0.05349,0.03079
275,48600.0,0.05812,0.03622
276,51100.0,0.06506,0.01045
277,51200.0,0.10131,0.01078
278,51300.0,0.05894,0.00753
279,51400.0,0.07575,0.01062
280,51500.0,0.09191,0.00873
281,51600.0,0.06109,0.01148
282,52100.0,0.00557,0.00915
283,52200.0,0.00397,0.00458
284,52300.0,0.03089,0.00786
285,52400.0,0.00215,0.00292
286,52500.0,0.0104,0.01018
287,52600.0,0.04895,0.00754
288,52700.0,0.01878,0.00604
289,52800.0,0.01674,0.01196
290,52900.0,0.03845,0.00774
291,53100.0,0.02235,0.00614
292,53200.0,0.02227,0.00484
293,53300.0,0.00247,0.00216
294,53400.0,0.00509,0.00547
295,53500.0,0.00574,0.00497
296,53600.0,0.00541,0.00479
297,53700.0,0.01272,0.00868
298,53800.0,0.00836,0.00824
299,54100.0,0.06978,0.0092
300,54200.0,0.07362,0.00831
301,54300.0,0.10783,0.01245
302,54400.0,0.10332,0.01459
303,54500.0,0.16923,0.03051
304,54600.0,0.10701,0.01814
305,55100.0,0.03646,0.00702
306,55200.0,0.00923,0.00789
307,55300.0,0.00716,0.01064
308,55400.0,0.05366,0.00992
309,55500.0,0.04011,0.00852
310,55600.0,0.04598,0.00761
311,55700.0,0.02313,0.02406
312,55800.0,0.07784,0.01458
313,55900.0,0.07073,0.00914
314,56100.0,0.0227,0.00646
315,56200.0,0.03076,0.00543
316,56300.0,0.02305,0.00488
317,56400.0,0.01735,0.00475
318,56500.0,0.03759,0.00726
319,56600.0,0.03149,0.00484
320,56700.0,0.03911,0.0064
321,56800.0,0.04076,0.00755
322,57100.0,0.05087,0.0108
323,57200.0,0.026,0.01108
324,57300.0,0.05819,0.01779
325,57400.0,0.06085,0.01277
326,57500.0,0.05189,0.01288
327,57600.0,0.04097,0.00939
328,57700.0,0.03742,0.00692
329,57800.0,0.03104,0.00642
330,58100.0,0.05831,0.00766
331,58200.0,0.03912,0.00595
332,58300.0,0.04837,0.00805
333,58400.0,0.05452,0.01127
334,58500.0,0.0378,0.00665
335,58600.0,0.03713,0.00445
336,58700.0,0.07452,0.00967
337,58800.0,0.05744,0.00775
338,58900.0,0.04117,0.00803
339,59100.0,0.02696,0.0058
340,59200.0,0.0202,0.00536
341,59300.0,0.01879,0.00716
342,59400.0,0.02702,0.00935
343,59500.0,0.01487,0.00738
344,59600.0,0.04479,0.00708
345,59700.0,0.03076,0.00816
346,59800.0,0.02034,0.00541
347,59900.0,0.03717,0.00966
348,61100.0,0.0203,0.0039
349,61200.0,0.02397,0.0061
350,61300.0,0.01952,0.00519
351,61400.0,0.0189,0.00445
352,61500.0,0.02438,0.00437
353,61600.0,0.03887,0.00711
354,61700.0,0.01926,0.00385
355,61800.0,0.03051,0.00705
356,62100.0,0.0046,0.00418
357,62200.0,0.0087,0.00555
358,62300.0,0.01963,0.00522
359,62400.0,0.00393,0.00315
360,62500.0,0.0088,0.00436
361,62600.0,0.01208,0.00471
362,62700.0,0.00289,0.00306
363,62800.0,0.01163,0.0057
364,62900.0,0.00617,0.00453
365,63100.0,0.00281,0.00328
366,63200.0,0.01409,0.00324
367,63300.0,0.01334,0.00324
368,63400.0,0.00285,0.00246
369,63500.0,0.00921,0.0025
370,63600.0,0.01083,0.00379
371,63700.0,0.00209,0.00217
372,63800.0,0.00651,0.00487
373,63900.0,0.0021,0.00268
374,64100.0,0.0061,0.0036
375,64200.0,0.00633,0.00471
376,64300.0,0.01061,0.00443
377,64400.0,0.01422,0.00929
378,64500.0,0.00602,0.00356
379,64600.0,0.01158,0.00395
380,64700.0,0.00922,0.00258
381,64800.0,0.01812,0.00552
382,65100.0,0.00567,0.00118
383,65200.0,0.01006,0.00235
384,65300.0,0.00206,0.00188
385,65400.0,0.0038,0.00145
386,65500.0,0.00339,0.00207
387,65600.0,0.00521,0.00211
388,65700.0,0.00633,0.00307
389,65800.0,0.00185,0.00161
390,65900.0,0.00313,0.00293
391,66100.0,0.00061,0.00064
392,66200.0,0.0007,0.00077
393,66300.0,0.00322,0.00107
394,66400.0,9e-05,0.00017
395,66500.0,0.00077,0.00058
396,66600.0,0.00072,0.00076
398,17210.0,0.36769,0.00156
399,17220.0,0.32899,0.04434
400,17230.0,0.21406,0.01253
401,17240.0,0.32352,0.08185
402,17250.0,0.21624,0.0
403,17260.0,0.28191,0.0
404,18210.0,0.2326,0.02675
405,18220.0,0.24552,0.03294
406,18230.0,0.2912,0.0135
407,18240.0,0.10927,0.02751
408,18250.0,0.24525,0.02018
409,18260.0,0.30225,0.0
410,18310.0,0.29382,0.00935
411,18320.0,0.19732,0.01276
412,18330.0,0.32986,0.03362
413,18340.0,0.35013,0.02957
414,18350.0,0.28802,0.02415
415,18360.0,0.30783,0.0072
416,18610.0,0.22245,0.0
417,18620.0,0.20969,0.00536
418,18630.0,0.0249,0.00904
419,18640.0,0.22204,0.01469
420,18650.0,0.23099,0.00492
421,18660.0,0.27731,0.04959
422,21110.0,0.0367,0.00713
423,21120.0,0.02367,0.00645
424,21130.0,0.0012,0.00263
425,21140.0,0.00459,0.00266
426,21150.0,0.0331,0.01028
427,21160.0,0.03065,0.01528
428,21510.0,0.07634,0.00748
429,21520.0,0.09204,0.00643
430,21530.0,0.06832,0.00935
431,21540.0,0.07685,0.00811
432,21550.0,0.06074,0.0092
433,21560.0,0.09375,0.008
434,21570.0,0.06271,0.01033
435,21580.0,0.07677,0.01244
436,21590.0,0.08753,0.00909
437,24710.0,0.10844,0.00704
438,24720.0,0.09832,0.01332
439,24730.0,0.10058,0.0136
440,24740.0,0.11871,0.00687
441,24750.0,0.10436,0.00589
442,24760.0,0.09721,0.00571
443,24770.0,0.12162,0.00504
444,24780.0,0.13516,0.00857
445,24790.0,0.14732,0.0087
446,56310.0,0.01727,0.00244
447,56320.0,0.02417,0.00329
448,56330.0,0.02294,0.00323
449,56340.0,0.02933,0.0041
450,56350.0,0.02401,0.00266
451,56360.0,0.01401,0.0
452,56410.0,0.02323,0.0021
453,56420.0,0.01608,0.00352
454,56430.0,0.01176,0.00248
455,56440.0,0.01965,0.00226
456,56450.0,0.01863,0.00242
457,56460.0,0.01716,0.00244
458,56470.0,0.02118,0.00087
459,56480.0,0.01171,0.00346
460,56490.0,0.01516,0.00457
461,56510.0,0.03044,0.00227
462,56520.0,0.03601,0.00353
463,56530.0,0.05199,0.00375
464,56540.0,0.04139,0.00575
465,56550.0,0.0347,0.00329
466,56560.0,0.03845,0.00218
467,56570.0,0.04593,0.00371
468,56580.0,0.03766,0.00355
469,61710.0,0.01568,0.0014
470,61720.0,0.02006,0.00241
471,61730.0,0.02431,0.00229
472,61740.0,0.01676,0.0014
473,61750.0,0.01835,0.00182
474,61760.0,0.02518,0.00175
475,63210.0,0.01435,0.00265
476,63220.0,0.01422,0.00261
477,63230.0,0.01895,0.00159
478,63240.0,0.01301,0.00205
479,63250.0,0.00967,0.00137
480,63260.0,0.01545,0.0016
481,63270.0,0.01264,0.00165
482,63280.0,0.01273,0.00165
483,63290.0,0.01508,0.00159
484,63510.0,0.00926,0.00139
485,63520.0,0.01307,0.00134
486,63530.0,0.00824,0.00191
487,63540.0,0.00703,0.00134
488,63550.0,0.01028,0.00193
489,63560.0,0.00886,0.00153
490,63570.0,0.00886,0.00235
491,63580.0,0.00914,0.00278
492,65210.0,0.00908,0.00238
493,65220.0,0.01145,0.0012
494,65230.0,0.01312,0.00126
495,65240.0,0.00793,0.00107
496,65250.0,0.01085,0.00149
497,65260.0,0.01129,0.00171
498,65270.0,0.00895,0.0018
499,65280.0,0.00774,0.00094
500,65290.0,0.00935,0.00184
501,65310.0,0.00097,0.00086
502,65320.0,0.00062,0.00089
503,65330.0,0.0019,0.00141
504,65340.0,0.00474,0.00096
505,65350.0,0.00084,0.00084
506,65360.0,0.0035,0.00088
507,65370.0,0.00469,0.00116
508,65380.0,0.00062,0.00084
509,65510.0,0.00209,0.00136
510,65520.0,0.00284,0.00143
511,65530.0,0.00683,0.00177
512,65540.0,0.00402,0.0017
513,65550.0,0.00259,0.00108
514,65560.0,0.00249,0.00122
515,65570.0,0.00657,0.00149
516,65580.0,0.00295,0.00099
517,65590.0,0.00245,0.00089
518,65610.0,0.00431,0.00106
519,65620.0,0.00602,0.00128
520,65630.0,0.00359,0.0008
521,65640.0,0.00299,0.00095
522,65650.0,0.00592,0.00082
523,65660.0,0.0045,0.00129
524,65670.0,0.00934,0.00112
525,65680.0,0.00687,0.00102
526,65710.0,0.00847,0.0018
527,65720.0,0.0069,0.00199
528,65730.0,0.00507,0.00155
529,65740.0,0.00715,0.00208
530,65750.0,0.00557,0.00145
531,65760.0,0.00193,0.00139
532,65770.0,0.00857,0.00174
533,65780.0,0.01089,0.0023
534,65790.0,0.00489,0.00183
535,65810.0,0.00058,0.00074
536,65820.0,0.00117,0.00096
537,65830.0,0.00331,0.00119
538,65840.0,0.00105,0.00133
539,65850.0,0.00085,0.00075
540,65860.0,0.0044,0.00127
541,65870.0,0.00313,0.00149
542,65880.0,0.00207,0.00114
543,65890.0,0.00278,0.00077
544,66110.0,0.00028,0.00033
545,66120.0,0.00026,0.00036
546,66130.0,0.0012,0.00065
547,66140.0,0.00067,0.00048
548,66150.0,0.00134,0.00067
549,66160.0,0.00105,0.00081
550,66210.0,0.00245,0.0
551,66220.0,0.00033,0.00046
552,66230.0,0.00175,0.00062
553,66240.0,0.00025,0.00031
554,66250.0,0.00096,0.0007
555,66260.0,0.00037,0.00025
556,66310.0,0.00323,0.00059
557,66320.0,0.00419,0.00048
558,66330.0,0.00586,0.00069
559,66340.0,0.00305,0.00077
560,66350.0,0.00267,0.00047
561,66360.0,0.0,0.0
562,66370.0,0.00312,0.0007
563,66380.0,0.00312,0.00069
564,66390.0,0.0026,0.00038
565,66410.0,8e-05,0.00014
566,66420.0,3e-05,7e-05
567,66430.0,8e-05,0.00014
568,66440.0,0.0001,0.00012
569,66450.0,0.00024,0.00022
570,66460.0,0.00058,0.0002
571,66510.0,0.0002,0.00026
572,66520.0,0.0002,0.00024
573,66530.0,0.00063,0.00031
574,66540.0,0.00142,0.00031
575,66550.0,0.0004,0.0005
576,66560.0,0.00067,0.00024
577,66570.0,0.00148,0.0003
578,66580.0,0.0,0.0
579,66610.0,0.00028,0.00044
580,66620.0,0.00121,0.00036
581,66630.0,0.00067,0.0006
582,66640.0,0.00032,0.00048
583,66650.0,0.00042,0.00059
584,66660.0,0.00177,0.00045
585,66670.0,0.00038,0.00044
586,66680.0,0.00027,0.00036
587,66421.0,3e-05,5e-05
588,66422.0,0.0,1e-05
589,66423.0,2e-05,5e-05
590,66424.0,7e-05,8e-05
591,66425.0,2e-05,4e-05
592,66426.0,0.00018,6e-05
