clustered_label,0,1,2
1739,1.0,1.0,0.0
6659,0.0,0.0,0.0
1739,1.0,1.0,1.0
6659,1.0,1.0,0.0
1739,1.0,1.0,1.0
1739,1.0,1.0,1.0
1739,1.0,1.0,1.0
6659,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,0.0
1409,1.0,1.0,0.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,0.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
1739,1.0,1.0,1.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,1.0
1739,1.0,1.0,1.0
6659,1.0,1.0,1.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
6659,1.0,1.0,0.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
1739,1.0,1.0,0.0
