clustered_label,0,1,2,3,4,5
2860,1.0,0.0,0.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,1.0,0.0,0.0
2930,1.0,1.0,0.0,0.0,0.0,0.0
2930,0.0,0.0,0.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,1.0,1.0,0.0
2960,1.0,1.0,0.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,0.0,0.0,0.0
2960,0.0,0.0,0.0,0.0,0.0,0.0
2930,1.0,1.0,1.0,1.0,1.0,0.0
2930,1.0,1.0,1.0,1.0,0.0,0.0
4500,1.0,1.0,0.0,0.0,0.0,0.0
4500,1.0,1.0,1.0,1.0,0.0,0.0
2849,1.0,1.0,0.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,0.0,0.0,0.0
2960,1.0,1.0,1.0,0.0,0.0,0.0
4500,1.0,1.0,0.0,0.0,0.0,0.0
8100,1.0,1.0,1.0,1.0,1.0,0.0
8100,1.0,1.0,1.0,0.0,0.0,0.0
5400,1.0,1.0,0.0,0.0,0.0,0.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
8100,1.0,1.0,0.0,0.0,0.0,0.0
8100,0.0,0.0,0.0,0.0,0.0,0.0
2276,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,1.0,1.0,1.0,0.0,0.0
8500,1.0,1.0,1.0,0.0,0.0,0.0
8500,0.0,0.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,1.0,1.0,0.0,0.0,0.0
5400,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,1.0,1.0,0.0,0.0,0.0
5400,1.0,1.0,1.0,1.0,1.0,1.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,1.0,1.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,1.0,0.0,0.0,0.0
5500,1.0,1.0,1.0,1.0,1.0,0.0
5400,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
8100,1.0,0.0,0.0,0.0,0.0,0.0
5500,1.0,1.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
5400,1.0,1.0,1.0,0.0,0.0,0.0
5400,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,0.0,0.0,0.0,0.0,0.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
8100,1.0,1.0,1.0,1.0,0.0,0.0
8100,1.0,0.0,0.0,0.0,0.0,0.0
3600,0.0,0.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
4700,1.0,1.0,1.0,1.0,0.0,0.0
8100,1.0,1.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,0.0,0.0,0.0,0.0
8100,1.0,1.0,0.0,0.0,0.0,0.0
5400,1.0,1.0,0.0,0.0,0.0,0.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
5400,1.0,0.0,0.0,0.0,0.0,0.0
8500,1.0,1.0,1.0,1.0,1.0,0.0
8500,1.0,0.0,0.0,0.0,0.0,0.0
