index,clustered_label,0,1,2,3
236,9000,0,0,0,0
237,4140,1,1,0,0
238,3600,1,0,0,0
239,4600,1,1,0,0
240,4800,0,0,0,0
241,1430,1,0,0,0
242,3200,0,0,0,0
243,4242,1,0,0,0
244,2400,0,0,0,0
245,5240,0,0,0,0
246,4242,0,0,0,0
247,4600,1,0,0,0
248,4244,0,0,0,0
249,4800,0,0,0,0
250,4246,1,0,0,0
251,5240,0,0,0,0
252,4245,1,0,0,0
253,4244,1,1,1,0
254,5230,0,0,0,0
255,4600,0,0,0,0
256,4140,0,0,0,0
257,5230,0,0,0,0
258,4130,0,0,0,0
259,4800,1,0,0,0
260,5400,0,0,0,0
261,3200,0,0,0,0
262,3200,1,0,0,0
263,5230,0,0,0,0
264,4800,0,0,0,0
265,7200,0,0,0,0
266,3600,0,0,0,0
267,4244,1,0,0,0
268,1200,0,0,0,0
269,5240,0,0,0,0
270,4244,0,0,0,0
271,4244,0,0,0,0
272,4800,1,1,0,0
273,4244,1,0,0,0
274,4244,1,1,1,0
275,4246,0,0,0,0
276,4600,0,0,0,0
277,4243,0,0,0,0
278,3540,1,1,1,1
279,4300,0,0,0,0
280,4246,1,0,0,0
281,4600,1,1,1,1
282,4440,0,0,0,0
283,4600,0,0,0,0
284,4600,1,1,1,0
285,3520,0,0,0,0
286,3520,1,1,0,0
287,4440,1,1,1,0
288,4244,0,0,0,0
