id,week,TA_video,TA_text,Teacher_video,Teacher_text,median,clustered_label,x_label,y_label,x_y_label,clusterL1,clusterL2,clusterL3,clusterL4
102208006,week5,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.18989800941652504,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week6,0.4745135672357773,-0.1226313575601998,-0.17028904400535613,-0.20189812383183994,-0.1226313575601998,0.16,-0-2,-0-1,-0x0-2x1,0x0,2x1,,
102208006,week7,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.19810861401647734,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week8,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.19052959438575207,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week9,-0.1790610684364638,-0.10774083785926344,-0.1750380112847939,-0.18105581984734564,-0.1750380112847939,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
102208006,week10,-0.1790610684364638,-0.11394522106798692,-0.1750380112847939,-0.1943191042011148,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week11,8.763124282978309,0.18386517295074012,-0.1750380112847939,-0.19368751923188765,0.18386517295074012,0.62,-2-1,-1-0,-2x1-1x0,2x1,1x0,,
102208006,week12,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week13,-0.1790610684364638,-0.10649996121751876,-0.1750380112847939,-0.18800325450884373,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week14,-0.1790610684364638,-0.10277733129228467,-0.1750380112847939,-0.18421374469348115,-0.1750380112847939,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
102208006,week15,-0.1790610684364638,-0.11642697435147632,-0.1750380112847939,-0.19810861401647734,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208006,week16,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.18926642444729794,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
