clustered_label,0,1,2,3,4,5
620,1.0,1.0,1.0,1.0,0.0,0.0
620,1.0,1.0,1.0,1.0,1.0,0.0
620,1.0,1.0,1.0,1.0,1.0,0.0
620,1.0,1.0,1.0,1.0,1.0,0.0
620,1.0,1.0,0.0,0.0,0.0,0.0
650,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
360,1.0,1.0,1.0,1.0,0.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,0.0,0.0,0.0,0.0
662,1.0,1.0,1.0,1.0,0.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,0.0,0.0,0.0,0.0,0.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,0.0,0.0,0.0
330,1.0,1.0,1.0,1.0,1.0,0.0
662,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
350,1.0,1.0,1.0,1.0,1.0,0.0
330,1.0,1.0,1.0,1.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,0.0,0.0,0.0
580,0.0,0.0,0.0,0.0,0.0,0.0
560,1.0,1.0,0.0,0.0,0.0,0.0
560,1.0,1.0,0.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,0.0,0.0
665,1.0,1.0,1.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,1.0
420,0.0,0.0,0.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
560,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,0.0,0.0
560,1.0,1.0,1.0,1.0,1.0,1.0
560,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,1.0
420,1.0,1.0,1.0,1.0,1.0,1.0
560,1.0,1.0,1.0,1.0,0.0,0.0
580,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,1.0,1.0,1.0,1.0,1.0
420,1.0,1.0,0.0,0.0,0.0,0.0
560,1.0,1.0,1.0,1.0,0.0,0.0
420,1.0,1.0,1.0,1.0,0.0,0.0
580,1.0,1.0,1.0,1.0,1.0,1.0
580,1.0,1.0,1.0,1.0,1.0,1.0
420,1.0,1.0,1.0,1.0,1.0,1.0
420,1.0,1.0,0.0,0.0,0.0,0.0
560,1.0,1.0,1.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,1.0
580,1.0,1.0,0.0,0.0,0.0,0.0
260,1.0,0.0,0.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,1.0
420,1.0,1.0,0.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,0.0,0.0
510,1.0,1.0,1.0,1.0,1.0,1.0
420,1.0,1.0,1.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,0.0,0.0
420,1.0,1.0,1.0,1.0,0.0,0.0
580,1.0,1.0,1.0,1.0,1.0,1.0
580,1.0,1.0,1.0,1.0,1.0,1.0
580,1.0,1.0,1.0,0.0,0.0,0.0
580,1.0,1.0,0.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,0.0
420,1.0,0.0,0.0,0.0,0.0,0.0
420,1.0,1.0,1.0,1.0,1.0,1.0
