,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std
0,0,0,0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.2727272727272727,0.36363636363636365,0.0,1000,11,66.0909090909091,17.783825876619385
1,0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,1100,7,64.0,17.566201313073595
2,0,0,0,0.2,0.0,0.2,0.0,0.2,0.4,0.0,1110,5,64.6,18.2931681236466
3,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1110,2,44.0,11.0
4,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1119,3,78.33333333333333,2.357022603955158
5,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1130,1,47.0,0.0
6,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1140,1,78.0,0.0
7,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1200,1,70.0,0.0
8,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1300,1,41.0,0.0
9,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1400,2,84.0,1.0
10,0,0,0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.0,0.1111111111111111,0.2222222222222222,2000,9,71.44444444444444,15.784036317404233
